rank,log_prob,area_rmse_km2,area_bias_km2,passed,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,lapse_rate
0,-542.5880913545849,0.43164414355655034,0.2916666666666667,True,5.503475040376389,-0.007487991882608772,0.011434455591876305,0.013363452994092667,0.0010813852065007228,1.9417769701336205,0.00693014866105108,-0.0022183149957383445
1,-542.6025106851869,0.4317792645939989,0.29333333333333417,True,5.545933543089566,-0.00757899222646776,0.011386360034979465,0.013320938993919604,0.0009635113920689794,2.0320798939485085,0.008336309546732599,-0.0022170884661281177
2,-542.6161219427245,0.43164414355655034,0.2916666666666667,True,5.387004399865555,-0.007407651238020634,0.011441728929348161,0.013917561510168347,0.0010161932211967782,1.9950031103494317,0.0010502884520996554,-0.0022150455870138933
3,-542.6336069328945,0.43164414355655034,0.2916666666666667,True,5.471733995529991,-0.007447867669274378,0.011470942976691904,0.013416454135033451,0.0011101237388290756,1.9219573266830943,0.008305066344747904,-0.002220838120593454
4,-542.6761107022452,0.4317792645939989,0.29333333333333417,True,5.399099317129484,-0.007429930889221352,0.01143750769170635,0.013911246473281439,0.0010426878306848178,1.9755979843602354,0.0035211755877952444,-0.0022133008686906126
5,-542.6864530555622,0.43164414355655034,0.2916666666666667,True,5.462101504799623,-0.007434839582958027,0.01137991819645817,0.013287477445332716,0.001094134497977962,1.921792165038396,0.019696004384409424,-0.002204774676110501
6,-542.6924163110776,0.43164414355655034,0.2916666666666667,True,5.4931302123389205,-0.007467915489575607,0.011444058293544604,0.013431255790687137,0.001085738094244464,1.9428289122994453,0.007042864997840925,-0.0022169827548854347
7,-542.723251877522,0.4317792645939989,0.29333333333333417,True,5.525863062036801,-0.007564859534201143,0.011356194148554915,0.013404258042655015,0.0009558338727726394,2.042316852401232,0.008580216949030058,-0.0022026328158027742
8,-542.731952857613,0.43164414355655034,0.2916666666666667,True,5.492673916240054,-0.007467139362279138,0.011442339623952918,0.013423665977777072,0.0010896951455037392,1.9400132405614752,0.008451781626490323,-0.002215423350301096
9,-542.7327228123021,0.4317792645939989,0.29333333333333417,True,5.307326274091337,-0.007253686928044029,0.01151319603349294,0.013780838810583725,0.0010397845618086757,1.9876701956817382,0.01645944340397653,-0.002195352247107034
10,-542.7772966924618,0.43154760262725883,0.2900000000000003,True,5.16145547264078,-0.007022121957559916,0.011526958457449938,0.014362919263436238,0.0010395160358005397,1.9909358428677442,0.004182369672644779,-0.0022159775839115975
11,-542.779593398204,0.43164414355655034,0.2916666666666667,True,5.430475630268565,-0.007344734518811324,0.011422803401465162,0.013596859150310727,0.0009837162738154347,2.039497400553849,0.01319390895916164,-0.002205256245479525
12,-542.785979162395,0.43164414355655034,0.2916666666666667,True,5.383140358875819,-0.007322308512860043,0.011531345058839276,0.013328950948427754,0.0011177404603584411,1.9050077218986834,0.010907063288187892,-0.0022318131044756235
13,-542.7899673193349,0.43216509191125996,0.29666666666666686,True,5.459855162506278,-0.0074323342828565815,0.011428415100885074,0.013590304951754445,0.0010129404697181684,1.99919420441987,0.006189509293420701,-0.0022340205473634052
14,-542.8102083822656,0.43164414355655034,0.2916666666666667,True,5.3671162566162955,-0.007386911331034281,0.011438609417032215,0.014007566848475103,0.001016884733953398,1.995492338012083,0.0007891669552504785,-0.002212733264066524
15,-542.8185520746093,0.43154760262725883,0.2900000000000003,True,5.14973236815542,-0.007011979138898417,0.011534399711554434,0.01444666183314706,0.0010398218123243057,1.9907823652081542,0.0029226455239903283,-0.002219082968550129
16,-542.822234563315,0.4317792645939989,0.29333333333333417,True,5.21623921617806,-0.007100451139710711,0.011524377223135087,0.01425346561776262,0.0010511004728366025,1.9926833173384684,0.002025378445069663,-0.002210004161544222
17,-542.8264204677408,0.43164414355655034,0.2916666666666667,True,5.292191318822193,-0.007225398597368313,0.011374255696640486,0.014107729709773495,0.0009885564917481342,2.0071316027328736,0.021886557018926594,-0.0022143884258750495
