param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
0,-666.3348358135795,92.92331618416162,69.86763575070337,29.22007869386066,22,False,,,,0,False,False,6.958554948088701,-0.0038626358540032615,0.001980777481975827,0.003961554963951654,0.0005874106217850946,1.7411068990958654,0.0012038567230380562,-0.005
1,-666.3772197904492,93.45967043963857,70.173110775682,30.14052368095994,22,False,,,,0,False,False,6.994665657243988,-0.003871237306956722,0.001828722694374622,0.003657445388749244,0.0005683321470241689,1.752161869633775,0.00011632860255765217,-0.005
2,-666.3872455937923,93.76330226727188,70.4976266374296,29.781825416796963,22,False,,,,0,False,False,6.8650895684965905,-0.0037643175883829033,0.00199226468478127,0.00398452936956254,0.0005878181845970728,1.7327447623911003,0.0002556251823466636,-0.005
3,-666.3980740766345,92.56988523329143,69.58987802110082,29.140529839992233,22,False,,,,0,False,False,6.964589006712102,-0.0038578349969816176,0.0019069124993535114,0.003813824998707023,0.0006097013803998257,1.7182616221842724,0.002418490472456715,-0.005
4,-666.4008362344027,92.99341916690597,69.92283966224691,29.55172894841227,22,False,,,,0,False,False,6.944452743357581,-0.003830708902098863,0.0019812901032762145,0.003962580206552429,0.0006046300382062514,1.7280122301748544,0.0010532516652245732,-0.005
5,-666.4018854195774,92.99341916690597,69.92283966224691,29.55172894841227,22,False,,,,0,False,False,6.944853114189585,-0.003830719079940347,0.0019799034298270536,0.003959806859654107,0.0006050468490950535,1.72767027387984,0.001088148153801309,-0.005
6,-666.4047716547051,92.99341916690597,69.92283966224691,29.55172894841227,22,False,,,,0,False,False,6.945247733979523,-0.0038308565120901894,0.0019797075728218995,0.003959415145643799,0.0006041190427997854,1.7285635091218787,0.0011096890922874594,-0.005
7,-666.414260596906,94.0492638505892,70.60244136033619,30.531950539738226,22,False,,,,0,False,False,6.924251138434592,-0.003803889875095573,0.0019508580038835573,0.0039017160077671146,0.0005786270837092048,1.7455538192390707,4.0574057050929554e-05,-0.005
8,-666.4273737939088,93.03610474374256,69.96704552334013,29.693681701642184,22,False,,,,0,False,False,6.8931644382035735,-0.003748997350203192,0.001922447520676596,0.003844895041353192,0.000644666472789828,1.6917018584526464,0.0012265093280667931,-0.005
9,-666.4361756126219,93.73095597371935,70.37721176847862,30.458393277016544,22,False,,,,0,False,False,6.93747026194009,-0.0038103062236907875,0.0019105697971148463,0.0038211395942296927,0.0005864320604439702,1.7377046800622944,0.0006423033820665228,-0.005
10,-666.4390247875343,93.05431642812535,69.97437659561672,29.705766340204626,22,False,,,,0,False,False,6.892422698757757,-0.0037475427417041018,0.0019225568115898177,0.0038451136231796353,0.0006454281621160846,1.6911212065657601,0.0013475464975580605,-0.005
11,-666.4432386759191,94.21642912988835,70.69424679378436,30.648707281981775,22,False,,,,0,False,False,6.921264264390583,-0.0037977188328183367,0.0019514994025815664,0.0039029988051631328,0.0005744223810755685,1.7497642452511162,9.495715266302773e-06,-0.005
12,-666.4485223215594,92.87112379719673,69.8167677590279,29.374740818587217,22,False,,,,0,False,False,6.9468797028416684,-0.0038172380971452846,0.0019616178087038757,0.003923235617407751,0.000620069438328618,1.718640826682383,0.0015916915140948141,-0.005
13,-666.4523702842811,92.62171529693951,69.62387081966064,29.329062156987245,22,False,,,,0,False,False,6.9917895343691745,-0.0038747105766878307,0.0018534716229678585,0.003706943245935717,0.0006048612956483758,1.7223088629542067,0.0027007278231852656,-0.005
14,-666.4571207507241,92.7019830680763,69.71405860162018,28.40099056662988,22,False,,,,0,False,False,7.007709334940733,-0.003950180566412808,0.0019863202177825396,0.003972640435565079,0.0005462176936972052,1.7763191070259687,0.0020931240480372287,-0.005
15,-666.4601298207122,94.24935536713085,70.74376410150013,30.632852325398957,22,False,,,,0,False,False,6.921833824954593,-0.003797355037173224,0.0019469531320885206,0.0038939062641770413,0.0005718363151793346,1.7520179458216283,0.00034138447120440896,-0.005
16,-666.460357436828,92.85793578978644,69.79653215373624,29.39608027250663,22,False,,,,0,False,False,6.957372964717593,-0.003823104931621317,0.001940092204878485,0.00388018440975697,0.0006229159276626039,1.7164162882037661,0.0015680030166544782,-0.005
