Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
1990-10-01,,,0.0,,,
1990-10-02,,,0.0,,,
1990-10-03,,,0.0,,,
1990-10-04,,,0.0,,,
1990-10-05,,,0.0,,,
1990-10-06,,,0.0,,,
1990-10-07,,,0.4,,,
1990-10-08,,,0.4,,,
1990-10-09,,,0.8,,,
1990-10-10,,,0.8,,,
1990-10-11,,,1.2,,,
1990-10-12,,,4.8,,,
1990-10-13,,,4.8,,,
1990-10-14,,,5.2,,,
1990-10-15,,,5.6,,,
1990-10-16,,,5.6,,,
1990-10-17,,,5.6,,,
1990-10-18,,,5.6,,,
1990-10-19,,,5.6,,,
1990-10-20,,,6.4,,,
1990-10-21,,,7.2,,,
1990-10-22,,,7.6,,,
1990-10-23,,,7.6,,,
1990-10-24,,,7.6,,,
1990-10-25,,,8.4,,,
1990-10-26,,,8.4,,,
1990-10-27,,,9.2,,,
1990-10-28,,,9.2,,,
1990-10-29,,,9.6,,,
1990-10-30,,,9.6,,,
1990-10-31,,,9.6,,,
1990-11-01,,,9.6,,,
1990-11-02,,,9.6,,,
1990-11-03,,,9.6,,,
1990-11-04,,,9.6,,,
1990-11-05,,,9.6,,,
1990-11-06,,,9.6,,,
1990-11-07,,,9.6,,,
1990-11-08,,,10.0,,,
1990-11-09,,,10.0,,,
1990-11-10,,,10.0,,,
1990-11-11,,,10.0,,,
1990-11-12,,,10.0,,,
1990-11-13,,,10.0,,,
1990-11-14,,,10.0,,,
1990-11-15,,,10.0,,,
1990-11-16,,,10.0,,,
1990-11-17,,,10.0,,,
1990-11-18,,,10.4,,,
1990-11-19,,,10.4,,,
1990-11-20,,,10.4,,,
1990-11-21,,,10.4,,,
1990-11-22,,,10.4,,,
1990-11-23,,,10.8,,,
1990-11-24,,,10.8,,,
1990-11-25,,,10.8,,,
1990-11-26,,,11.2,,,
1990-11-27,,,11.2,,,
1990-11-28,,,11.2,,,
1990-11-29,,,11.2,,,
1990-11-30,,,11.2,,,
1990-12-01,,,11.2,,,
1990-12-02,,,11.2,,,
1990-12-03,,,11.2,,,
1990-12-04,,,11.2,,,
1990-12-05,,,11.2,,,
1990-12-06,,,12.0,,,
1990-12-07,,,12.0,,,
