#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1265: Lower Kachemak Creek, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lower Kachemak Creek (1265) 
# Alaska  SNOTEL Site - 1960 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 12, 2026, 11:31:54 AM GMT-08:00
#
Date,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Accumulation (in) Start of Day Values,Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2015-06-19,50.5,58.6,45.9,,,
2015-06-20,49.3,54.3,45.9,0.0,0,
2015-06-21,48.2,51.4,44.8,0.0,0,
2015-06-22,52.9,66.0,42.4,0.0,0,
2015-06-23,49.8,60.4,42.6,0.0,0,
2015-06-24,54.5,64.0,44.4,0.0,0,
2015-06-25,53.6,62.8,47.1,0.0,0,
2015-06-26,48.4,53.4,46.2,0.0,0,
2015-06-27,47.1,52.9,43.7,0.0,0,
2015-06-28,46.8,54.3,43.9,0.5,0,
2015-06-29,47.8,54.1,44.4,0.9,0,
2015-06-30,46.4,52.3,42.8,1.0,0,
2015-07-01,46.4,53.6,41.7,1.0,0,
2015-07-02,52.0,58.3,45.9,1.1,0,
2015-07-03,54.5,61.7,50.2,1.2,0,
2015-07-04,49.6,51.4,48.4,1.2,0,
2015-07-05,52.7,61.0,47.8,1.3,0,
2015-07-06,53.2,57.6,48.6,1.3,0,
2015-07-07,52.3,61.5,45.7,1.7,0,
2015-07-08,47.8,54.0,44.4,1.7,0,
2015-07-09,49.3,56.7,43.7,1.7,0,
2015-07-10,52.3,59.9,43.9,1.7,0,
2015-07-11,54.5,62.2,48.7,1.7,0,
2015-07-12,49.8,53.2,46.0,1.7,0,
2015-07-13,,,,2.1,0,
2015-07-14,47.8,55.4,43.2,2.4,,
2015-07-15,47.1,54.7,43.3,2.5,0,
2015-07-16,48.4,51.3,44.8,2.7,0,
2015-07-17,48.4,55.6,44.2,3.6,0,
2015-07-18,50.7,57.9,43.9,3.4,0,
2015-07-19,54.9,62.8,45.3,3.5,0,
2015-07-20,57.6,64.4,49.8,3.6,0,
2015-07-21,56.3,64.2,51.1,3.6,0,
2015-07-22,51.8,56.5,48.4,3.6,0,
2015-07-23,51.3,56.7,46.6,3.8,0,
2015-07-24,58.5,68.4,50.7,4.0,0,
2015-07-25,,,,4.0,0,
2015-07-26,48.7,52.7,45.9,4.3,0,
2015-07-27,51.1,59.9,45.0,4.3,0,
2015-07-28,,,,4.4,0,
2015-07-29,52.3,59.2,48.6,4.5,0,
2015-07-30,53.4,62.6,48.2,4.5,0,
2015-07-31,57.4,67.3,48.4,4.5,0,
2015-08-01,59.4,70.3,51.8,4.5,0,
2015-08-02,59.0,66.4,51.4,4.7,0,
2015-08-03,61.7,71.8,54.1,4.8,0,
2015-08-04,,,,4.8,0,
2015-08-05,,,,4.8,0,
2015-08-06,,,,4.8,0,
2015-08-07,,,,4.8,0,
2015-08-08,53.4,59.9,47.8,4.8,0,
2015-08-09,52.2,57.0,48.0,4.8,0,
2015-08-10,50.9,55.2,47.1,4.9,0,
2015-08-11,51.4,59.4,45.3,4.9,0,
2015-08-12,51.8,59.9,41.9,4.9,0,
2015-08-13,56.1,66.9,49.1,4.9,0,
2015-08-14,52.3,59.4,47.7,4.9,0,
2015-08-15,48.4,50.0,45.9,4.9,0,
2015-08-16,50.7,54.7,47.5,5.0,0,
