TIMESTAMP,AirTC_Avg,Rain_mm_Tot
4/30/24 8:00,3.337,0
4/30/24 9:00,3.12,0
4/30/24 10:00,3.687,0
4/30/24 11:00,2.628,0
4/30/24 12:00,1.682,0
4/30/24 13:00,1.04,0
4/30/24 14:00,-0.44,0
4/30/24 15:00,-0.688,0
4/30/24 16:00,-0.597,0
4/30/24 17:00,-0.842,0
4/30/24 18:00,-1.504,0
4/30/24 19:00,-2.027,0
4/30/24 20:00,-1.876,0
4/30/24 21:00,-2.181,0
4/30/24 22:00,-2.609,0
4/30/24 23:00,-2.248,0
5/1/24 0:00,-0.324,0
5/1/24 1:00,-0.034,0
5/1/24 2:00,-0.926,0
5/1/24 3:00,-0.711,0
5/1/24 4:00,-0.351,0
5/1/24 5:00,-0.494,0
5/1/24 6:00,0.038,0
5/1/24 7:00,0.107,0
5/1/24 8:00,0.311,0
5/1/24 9:00,0.254,0
5/1/24 10:00,-0.01,0
5/1/24 11:00,-0.071,0.254
5/1/24 12:00,-0.442,0
5/1/24 13:00,-0.531,0
5/1/24 14:00,-0.721,0
5/1/24 15:00,-0.55,0
5/1/24 16:00,-0.876,0
5/1/24 17:00,-1.016,0
5/1/24 18:00,-1.102,0
5/1/24 19:00,-1.305,0
5/1/24 20:00,-1.284,0
5/1/24 21:00,-1.404,0
5/1/24 22:00,-1.59,0
5/1/24 23:00,-1.704,0
5/2/24 0:00,-1.814,0
5/2/24 1:00,-1.768,0
5/2/24 2:00,-1.966,0
5/2/24 3:00,-1.922,0
5/2/24 4:00,-2.036,0
5/2/24 5:00,-1.989,0.762
5/2/24 6:00,-1.94,0
5/2/24 7:00,-1.587,0
5/2/24 8:00,-1.661,0
5/2/24 9:00,-1.772,0
5/2/24 10:00,-1.947,0
5/2/24 11:00,-2.31,0
5/2/24 12:00,-2.617,0
5/2/24 13:00,-2.793,0
5/2/24 14:00,-3.017,0
5/2/24 15:00,-2.899,0
5/2/24 16:00,-2.937,0
5/2/24 17:00,-2.969,0
5/2/24 18:00,-2.748,0
5/2/24 19:00,-2.653,0
5/2/24 20:00,-2.544,0
5/2/24 21:00,-2.302,0
5/2/24 22:00,-2.17,0
5/2/24 23:00,-2.122,0
5/3/24 0:00,-2.007,0
5/3/24 1:00,-1.812,0
5/3/24 2:00,-1.664,0
5/3/24 3:00,-1.48,0
5/3/24 4:00,-1.297,0
5/3/24 5:00,-0.883,0
5/3/24 6:00,-0.466,0.254
5/3/24 7:00,-0.54,0.508
5/3/24 8:00,-0.661,0.508
5/3/24 9:00,-0.466,0.508
5/3/24 10:00,-0.597,1.016
5/3/24 11:00,-0.531,1.27
5/3/24 12:00,-0.712,1.016
5/3/24 13:00,-1.072,0
5/3/24 14:00,-1.455,0
5/3/24 15:00,-1.642,0
5/3/24 16:00,-1.557,0
5/3/24 17:00,-1.491,0
5/3/24 18:00,-1.31,0
5/3/24 19:00,-1.048,0
5/3/24 20:00,-0.872,0
5/3/24 21:00,-0.553,0
5/3/24 22:00,-0.506,0
5/3/24 23:00,-0.573,0.254
5/4/24 0:00,-0.713,0
5/4/24 1:00,-0.639,0
5/4/24 2:00,-0.218,0
5/4/24 3:00,-0.412,0
5/4/24 4:00,-0.643,0
5/4/24 5:00,-0.494,0
5/4/24 6:00,-0.25,0
5/4/24 7:00,-0.205,0
5/4/24 8:00,-0.485,0
5/4/24 9:00,-0.449,0
5/4/24 10:00,-0.273,0
5/4/24 11:00,0.196,0
5/4/24 12:00,-0.291,0
5/4/24 13:00,-0.422,0
5/4/24 14:00,-0.532,0
5/4/24 15:00,-0.894,0
5/4/24 16:00,-1.336,0
5/4/24 17:00,-1.833,0
5/4/24 18:00,-2.045,0
5/4/24 19:00,-2.123,0
5/4/24 20:00,-2.174,0
5/4/24 21:00,-2.343,0
5/4/24 22:00,-2.294,0
5/4/24 23:00,-2.487,0
5/5/24 0:00,-2.271,0
5/5/24 1:00,-2.349,0
5/5/24 2:00,-2.227,0
5/5/24 3:00,-2.248,0
5/5/24 4:00,-1.962,0
5/5/24 5:00,-1.575,0
5/5/24 6:00,-1.292,0.254
5/5/24 7:00,-1.186,0
5/5/24 8:00,-0.982,0
5/5/24 9:00,-1.36,0
5/5/24 10:00,-1.551,0
5/5/24 11:00,-1.755,0.254
5/5/24 12:00,-1.816,0
5/5/24 13:00,-2.146,0
5/5/24 14:00,-2.522,0
5/5/24 15:00,-2.719,0
5/5/24 16:00,-2.872,0
5/5/24 17:00,-3.132,0
5/5/24 18:00,-3.239,0
5/5/24 19:00,-3.437,0
5/5/24 20:00,-3.005,0
5/5/24 21:00,-2.791,0
5/5/24 22:00,-3.047,0
5/5/24 23:00,-2.962,0
5/6/24 0:00,-3.632,0
5/6/24 1:00,-3.617,0
5/6/24 2:00,-2.96,0
5/6/24 3:00,-2.076,0
5/6/24 4:00,-1.238,0
5/6/24 5:00,-1.659,0
5/6/24 6:00,-1.324,0
5/6/24 7:00,-0.689,0
5/6/24 8:00,-0.373,0
5/6/24 9:00,0.133,0
5/6/24 10:00,1.114,0
5/6/24 11:00,-0.556,0.762
5/6/24 12:00,-1.072,0.254
5/6/24 13:00,-1.257,0.508
5/6/24 14:00,-0.921,0
5/6/24 15:00,-1.627,0
5/6/24 16:00,-1.91,0
5/6/24 17:00,-1.548,0
5/6/24 18:00,-1.624,0
5/6/24 19:00,-2.191,0
5/6/24 20:00,-2.685,0
5/6/24 21:00,-3.191,0
5/6/24 22:00,-2.902,0
5/6/24 23:00,-2.562,0
5/7/24 0:00,-2.351,0
5/7/24 1:00,-2.277,0
5/7/24 2:00,-2.22,0
5/7/24 3:00,-2.088,0
5/7/24 4:00,-1.852,0
5/7/24 5:00,-1.633,0
5/7/24 6:00,-1.316,0
5/7/24 7:00,-1.197,0
5/7/24 8:00,-0.997,0
5/7/24 9:00,-1.068,0
5/7/24 10:00,-1.036,0
5/7/24 11:00,-1.032,0
5/7/24 12:00,-1.513,0
5/7/24 13:00,-1.905,0
5/7/24 14:00,-2.415,0
5/7/24 15:00,-2.579,0
5/7/24 16:00,-2.817,0
5/7/24 17:00,-2.813,0
5/7/24 18:00,-2.962,0
5/7/24 19:00,-3.082,0
5/7/24 20:00,-3.033,0
5/7/24 21:00,-2.925,0
5/7/24 22:00,-2.7,0
5/7/24 23:00,-2.353,0
5/8/24 0:00,-2.575,0
5/8/24 1:00,-2.634,0
5/8/24 2:00,-2.691,0
5/8/24 3:00,-2.545,0
5/8/24 4:00,-2.256,0
5/8/24 5:00,-2.232,0
5/8/24 6:00,-2.019,0
5/8/24 7:00,-1.768,0
5/8/24 8:00,-1.733,0
5/8/24 9:00,-1.753,0
5/8/24 10:00,-1.816,0
5/8/24 11:00,-1.532,0
5/8/24 12:00,-1.438,0
5/8/24 13:00,-1.412,0
5/8/24 14:00,-1.489,0
5/8/24 15:00,-1.699,0
5/8/24 16:00,-1.749,0
5/8/24 17:00,-1.944,0
5/8/24 18:00,-1.975,0
5/8/24 19:00,-1.861,0
5/8/24 20:00,-2.245,0
5/8/24 21:00,-2.931,0
5/8/24 22:00,-2.958,0
5/8/24 23:00,-2.818,0
5/9/24 0:00,-2.633,0
5/9/24 1:00,-2.291,0
5/9/24 2:00,-1.401,1.016
5/9/24 3:00,-1.073,1.016
5/9/24 4:00,-0.747,0
5/9/24 5:00,-0.634,0
5/9/24 6:00,-0.684,0
5/9/24 7:00,-0.383,0
5/9/24 8:00,-0.3,0
5/9/24 9:00,-0.486,0
5/9/24 10:00,-1.325,0
5/9/24 11:00,-2.002,0
5/9/24 12:00,-2.786,0
5/9/24 13:00,-3.639,0
5/9/24 14:00,-4.442,0
5/9/24 15:00,-4.751,0
5/9/24 16:00,-4.878,0
5/9/24 17:00,-4.678,0
5/9/24 18:00,-4.502,0.254
5/9/24 19:00,-4.409,0
5/9/24 20:00,-4.12,0
5/9/24 21:00,-4.148,0
5/9/24 22:00,-4.204,0
5/9/24 23:00,-4.686,0
5/10/24 0:00,-5.34,0
5/10/24 1:00,-5.954,0
5/10/24 2:00,-5.473,0
5/10/24 3:00,-5.519,0
5/10/24 4:00,-5.254,0
