year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.6351811260268567,0.005210509274274256,-0.6431701813100819,-0.6390446920396726,-0.6361702161410963,-0.6309763241018916,-0.626978420055638,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,7073.738229673543,26.755076680614057,7029.804026002828,7056.956758876658,7073.977870521463,7091.72737582474,7115.734605970122,35.35664964552103,0.14360325009086863,35.12013002660578,35.272348207607735,35.3510730866152,35.45066634548022,35.598551865510544,8.12463045096184,0.030640521087172475,8.074283847498082,8.105199646024246,8.12503070425167,8.145493633012713,8.172579771545138,256218345.9015324,966279.473005071,254630615.4146995,255605576.03702062,256230968.28928065,256876287.21068895,257730475.6754475
2027,0.01401690317131289,0.0066584979087797,0.0036789217317923927,0.00927132519837802,0.013084227743244877,0.018881547341343057,0.024616050932096508,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.843968949069773,0.0002321876375626311,6.843612945505647,6.8437967831224835,6.843924873820145,6.844156320970292,6.844334473209705,170.67254237081713,0.005790215400563847,170.66366447645004,170.6682489556729,170.6714432374101,170.67721498679032,170.6816576860276,5780.618432425266,21.42203355596184,5745.271034697396,5765.51833141821,5780.64078402209,5795.935587801654,5812.79118167058,26.62555465474538,0.10344350328819842,26.4477191077839,26.56173661989632,26.61943947171391,26.691568659497452,26.80118466867065,6.741954149982701,0.024966590269034382,6.7008100941376,6.724304312582236,6.741788031045864,6.759698995770072,6.7794800253383265,212614266.07385442,787346.3907242671,211316747.12872335,212057660.8015934,212609027.34706235,213173867.53060496,213797682.07906947
2028,-2.091022203137442,0.006765719022014675,-2.1022430647221317,-2.0958535909034435,-2.091354096822462,-2.086267074774176,-2.0805384564065266,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.8445934799777435,0.000517652202341162,6.843769516767778,6.844210793484461,6.844515260167171,6.844971385448325,6.845440754336323,170.6881167076744,0.012909032477335117,170.6675689967027,170.6785734036025,170.68616608895687,170.6975407842475,170.709245744048,6519.804482066686,24.067029714601727,6478.557443018133,6505.4075257805,6519.166691931978,6536.635922869187,6559.11465739631,36.4128443649222,0.1459198434783871,36.16850035100527,36.3256533956945,36.40192768368364,36.50709381907595,36.66298324943847,7.563035349835873,0.027893124778203205,7.515041094514727,7.546405637179797,7.562494349822694,7.582313631766331,7.60883368422004,239161329.04665002,882047.5489862538,237643635.5071825,238635457.62115443,239144221.32783318,239770954.58916765,240609582.2958798
2029,0.2030306729290932,0.007212573819442047,0.19205409799338402,0.19812690331645008,0.20231660361913922,0.20801872408726968,0.21499748928671938,39.979999999999755,2.4158453015843406e-13,39.98,39.98,39.98,39.98,39.98,6.752384109727966,0.0006291271273326002,6.751355458527473,6.751943549329039,6.752313955066161,6.75290969634634,6.753340811457478,168.8940497680831,0.01573604620641831,168.86832062349856,168.88303024835014,168.89229502416612,168.90719600666185,168.917979276075,5705.920522420069,21.127335429448927,5671.455788088252,5691.291789197608,5705.765685719871,5721.184809326681,5737.133443016574,30.141689728425504,0.1205916862712541,29.9395886560515,30.070692560902476,30.133134323271683,30.217412691135472,30.346264240802423,6.613785585937327,0.02445068654857632,6.573922045317501,6.5968978861932355,6.613463610619609,6.6314087034837,6.649849684230438,208572342.23811948,771076.8509959028,207315205.62113273,208039771.73898986,208562188.42450002,209128104.87306195,209709659.6418911
2030,-0.6313449511550958,0.004368746546583832,-0.6379156100678668,-0.6343692739565836,-0.63169270212762,-0.6281757213467742,-0.6238071770616389,39.979999999999755,2.4158453015843406e-13,39.98,39.98,39.98,39.98,39.98,6.761403183398748,0.0008938841379483329,6.7599818414465895,6.760730014860162,6.761275478754108,6.762147239063436,6.762766666547444,169.11963940467103,0.022358282590003324,169.08408808020485,169.10280177239025,169.1164451914484,169.13825010163674,169.15374353545383,5662.940190055546,21.383409014531175,5627.470798491461,5649.89137176945,5662.318868771884,5677.549092855731,5697.8236043941815,41.939019838147054,0.16998440070671353,41.65438500365373,41.83716443038045,41.92502681041381,42.04793109301798,42.23222103795303,6.267027677139828,0.0235480824997024,6.227759582055704,6.252638902795353,6.2663691297108715,6.283042526691801,6.3054606059700715,197636984.82628164,742612.3297106152,196398626.1797087,197183220.43855426,197616216.87456203,198142029.12175262,198849005.66987216
2031,-2.061250918800452,0.006604852663571819,-2.071264095979093,-2.0655349053955567,-2.061939011974895,-2.056118877015698,-2.0512627573976494,39.96999999999995,4.973799150320701e-14,39.97,39.97,39.97,39.97,39.97,6.7333515809848805,0.0010725517031792728,6.73166937333131,6.732534119223467,6.733164561962909,6.734258289436888,6.73498970857256,168.46013462559108,0.026833918017994774,168.41804786918465,168.43968274264364,168.4554556408033,168.48281935043505,168.5011185532289,7150.992537914033,26.258090528851056,7107.2141429841095,7134.764758269564,7150.267666052087,7169.508378386126,7191.920903846638,35.00055264623219,0.13933114085414905,34.77009279121525,34.917161514572854,34.99388418066769,35.09072413679447,35.23586805876043,8.404659941509221,0.03087129309097858,8.35337553740417,8.385340411522282,8.403500871885807,8.4265398522196,8.452756333266118,265049355.91543496,973557.0989170998,263432050.94757792,264440095.21776676,265012803.4957908,265739360.77959734,266566123.7258803
2032,-1.0932118950107361,0.004284732262962787,-1.0998571931265837,-1.0956262650061457,-1.0938412581621515,-1.0901352120884196,-1.08638878488865,39.790000000000134,1.3500311979441904e-13,39.79,39.79,39.79,39.79,39.79,6.64337545594204,0.0012253667107500956,6.641382422307142,6.642506423325727,6.64323564941879,6.64440263955123,6.645243854947298,166.9609312878119,0.030795845960042197,166.91084248070226,166.93909080989516,166.9574176782807,166.9867464074197,167.00788778455131,5000.03487630901,18.284369476965658,4969.17661490742,4988.9246372745165,4999.790725110242,5012.500023951381,5028.666712516724,25.9210436554514,0.09819284714789779,25.75467795705445,25.865479609441266,25.916994220834024,25.984802191085336,26.089068608725384,5.8806875027293595,0.02153472520001673,5.844440037545088,5.867584060652762,5.880394830188282,5.895369810701739,5.914430977860521,185961452.48630878,680979.6941650101,184815220.64326578,185547090.1995859,185952197.47814596,186425742.3019347,187028502.15429652
2033,-0.8429081264238518,0.004394258326063606,-0.8505418944308409,-0.8458067183085645,-0.8429214447354242,-0.8401627147561785,-0.8357462332217344,39.72215999999991,0.004830569324624045,39.72,39.72,39.72,39.72,39.73,6.595342529959484,0.0013861720124846235,6.593096970769287,6.594394109418578,6.5952010396555325,6.596453698245714,6.597493985345861,166.0368546654376,0.024848691990028583,165.98934971725296,166.02200678294506,166.0398413100059,166.05245421732707,166.07568852822817,6144.048450942689,23.04042892780566,6105.36864566061,6129.923955915507,6143.4708028046025,6159.501052919542,6180.97256414441,39.80975657594506,0.1604133069537008,39.54212726789794,39.71775225681668,39.79573535137537,39.91212869259627,40.08301933564083,6.862003999961411,0.02560421603237543,6.818488794359423,6.846024908278013,6.86134015696797,6.878864275106652,6.903857148423081,216400158.14278302,807454.5567969896,215027862.61891878,215896241.5074554,216379223.19014192,216931863.77976337,217720039.03267026
2034,-3.6004264360375924,0.011975039930284658,-3.6212541212482674,-3.608689079273874,-3.6000037922022674,-3.592149380184096,-3.580029312643347,39.66043999999991,0.0033773362284506545,39.66,39.66,39.66,39.66,39.67,6.558296770413755,0.0015777008268393253,6.555851092650029,6.55727061336541,6.558113248406574,6.559581101741901,6.560763692803663,165.36116942903246,0.03343260520036926,165.30784047117385,165.3377055792643,165.35837741821922,165.39034128078936,165.41260398962433,8079.895053425522,29.996383624691532,8028.348575276003,8062.269259315183,8079.962567974113,8100.729700055364,8129.467690087986,43.80671627168128,0.17230445803829833,43.516457343679406,43.70898635228974,43.800613471771754,43.90772061462727,44.106912003955294,9.261806918777474,0.034270395096147724,9.203756637135378,9.24164336846422,9.262041432614568,9.285216857247011,9.318858377601513,292080342.9905667,1080751.1797521159,290249669.3087013,291444465.2678876,292087738.6189331,292818598.81014174,293879517.79604137
2035,-0.46659223175217407,0.004954784798551463,-0.47377371987909334,-0.4702838095001563,-0.46717985679859175,-0.4629238880778848,-0.4584308210049163,39.33984000000011,0.0017816845961058855,39.34,39.34,39.34,39.34,39.34,6.403041796873445,0.001818693047417232,6.400234220139525,6.401963619193367,6.402749054838569,6.404309867524187,6.406090464217177,162.76227339104145,0.04530827345408917,162.69130345026338,162.73477110944577,162.75417017891635,162.7938451327958,162.83910686876402,6574.8650747061565,25.259110630003217,6533.509041911976,6558.481384438086,6574.98959373626,6591.692196947968,6614.034071700637,44.93772043219337,0.18742312577096024,44.637897298000425,44.825958815386805,44.934324760147504,45.05508334376699,45.25124674633514,7.0571038851692345,0.02691080253356004,7.013004947261319,7.039435096420762,7.057878162395795,7.075557842866483,7.097737863366862,222552828.12269711,848659.068698349,221162124.01683295,221995625.2007252,222577245.7293138,223134792.1326374,223834261.25913736
