year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-1.1382611149866788,0.005420387600984119,-1.1467016169171023,-1.142341064737132,-1.139027367436521,-1.1348071047716077,-1.1293273265321484,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,8203.97669751674,31.48849410653257,8152.494239194876,8184.493060100186,8202.945610967552,8225.597431599896,8255.665013109196,42.36859358271997,0.16930753439186136,42.08262635662305,42.260178301336424,42.35839478228468,42.477809939111246,42.661243837268685,9.402711396220313,0.03599060278987295,9.343892705663093,9.380503285649855,9.40156568569795,9.427433992652754,9.461598768390095,296523906.5912038,1134999.6495814333,294669000.3657913,295823551.6162538,296487775.4641705,297303558.39229727,298380978.75995004
2027,-0.3371749682670319,0.006010236260336294,-0.3459609430110045,-0.3415306931974827,-0.3376629060217641,-0.33313671140349504,-0.32757841727078263,40.07999999999994,5.684341886080802e-14,40.08,40.08,40.08,40.08,40.08,6.821605203761058,0.00023994160583036333,6.821231572254185,6.821424598651815,6.821571284444431,6.8217581007157735,6.8220006713375,170.199730632761,0.005986567011736564,170.19040848937587,170.19522451726084,170.1988843424259,170.20354542704027,170.20959758826098,6428.419090281361,24.040539381168394,6389.3799165541095,6412.8735756794595,6428.060739575519,6444.613662030999,6466.207421053644,39.11463030362449,0.16068160796729805,38.85837424293746,39.019014624801834,39.11321619935062,39.21881195103438,39.38107288488532,7.341043301705127,0.02736019290248556,7.296573266994653,7.323202084283063,7.340668481382497,7.35937998432658,7.383822974015682,231507141.56257275,862831.0433727847,230104734.54794335,230944500.92995068,231495321.22887844,232085407.185723,232856241.30855855
2028,-3.028416955447564,0.00941168996135304,-3.0440549058047717,-3.0353061216856703,-3.028651003578287,-3.0213207382694045,-3.013646989394059,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.806581023263017,0.00048749817735080066,6.8058442187883195,6.80622885888866,6.806545542765189,6.806920807826529,6.807389907340294,169.86725788028485,0.012166163647387322,169.84886994730024,169.8584691512019,169.86637241739928,169.87573765476736,169.8874446553605,9308.615485207254,35.40319926764515,9250.415235634742,9287.478186584685,9307.443009948302,9332.36249577986,9366.060464433189,39.93917917453701,0.15940990385821915,39.67298828985911,39.84131045001866,39.92756366280376,40.042184430620125,40.21282139795053,10.752242848200058,0.0408183255790055,10.685137519302735,10.728077411390014,10.750615912251977,10.779483150057724,10.818458323794747,340011724.24292135,1290773.418789544,337889692.6903988,339247555.1339396,339960276.6235969,340873127.9643854,342105616.498367
2029,-3.164450028604261,0.010045529102483191,-3.181552782133438,-3.171754029532031,-3.164493067969238,-3.156944196932769,-3.148013079259198,39.84024000000011,0.0015304901175764165,39.84,39.84,39.84,39.84,39.84,6.674674033464149,0.0007082698911740159,6.6735185381332816,6.674185936675599,6.67456777657868,6.675164071628315,6.675835530281682,167.53598955363393,0.016313600072121747,167.50799543507233,167.52474740651604,167.53433174143274,167.54849520642233,167.5642224986287,9038.47427550339,34.28716347735319,8981.28376191698,9017.941276201042,9037.885533696193,9061.914350725861,9094.102664196409,37.03129717037722,0.15217962233644042,36.78641476740112,36.943713507486116,37.0263101121021,37.127591681133225,37.28362402290898,10.332692211936068,0.0390606538771422,10.267430782680146,10.309396221016442,10.331866624045848,10.359338361798805,10.395787261422553,325851781.595616,1231816.780669557,323793697.1626011,325117119.22597456,325825745.8559098,326692094.57768714,327841547.0762216
2030,-0.5072146596671508,0.004544283795006358,-0.5139171178967871,-0.5105221362959618,-0.5080361910827845,-0.5037584558175268,-0.4997813595436429,39.62995999999995,0.0006311893535227026,39.63,39.63,39.63,39.63,39.63,6.536999100172695,0.0010565971216390717,6.535247474435591,6.536308472975802,6.536899746522468,6.537743029768629,6.538814083048143,164.95093860709207,0.026341182021312214,164.911779601388,164.9333452681252,164.94826511537894,164.96954402646048,164.9965703519592,5304.630737545942,19.789120204252963,5272.395830749079,5291.640447211838,5305.159007146882,5318.344592655743,5334.15545177636,28.739955399276113,0.12093262850855696,28.54992510793051,28.667671140886394,28.74025906488438,28.818083719320576,28.9379959316042,6.207277466450983,0.02315859337201045,6.169486733473279,6.192213408813761,6.207545891580746,6.223385527574916,6.241650530021672,195752702.18199813,730329.4005797217,194560933.62681332,195277642.06035078,195761167.2368904,196260685.99760252,196836691.11476344
2031,-0.8753755354732135,0.004335625365097904,-0.8818496848722236,-0.878204341746646,-0.8759403413074034,-0.8722080138734928,-0.8684577254377595,39.56000000000006,5.684341886080802e-14,39.56,39.56,39.56,39.56,39.56,6.514721139787617,0.0011791148939945023,6.512770599981558,6.513944069563541,6.514627050073402,6.515493382019545,6.516688354160483,164.67950302799832,0.029805735439698038,164.63019716839125,164.65986020130288,164.67712462268457,164.6990238124253,164.72923038828318,6257.248695856321,23.79400859419715,6218.2048859582865,6242.301048057867,6257.376098441743,6273.484235590529,6294.541005820188,33.376392865531145,0.13495492162110204,33.15383007874011,33.299165051380534,33.371214999575756,33.462789584054434,33.600999256830384,6.967438052814099,0.02641024477944935,6.92410506913877,6.950697964064711,6.967554797811811,6.985616535590648,7.008702915102046,219725126.43354553,832873.4793647144,218358577.46036026,219197210.99474472,219728808.1037933,220298403.06638667,221026455.13065812
2032,-1.3726386497700378,0.0055901436295318005,-1.3817766511075165,-1.3766690095871514,-1.373053515121424,-1.3689292124705126,-1.363025156396073,39.520000000000245,2.4158453015843406e-13,39.52,39.52,39.52,39.52,39.52,6.476448138930844,0.00134547948171131,6.474247279355929,6.475552649206568,6.476319050736278,6.477371761400828,6.478622153427438,163.87773630897863,0.0340455334441123,163.8220465424071,163.85507715603666,163.8744699072945,163.90110732289546,163.932746797253,6184.521545970252,23.363610241117215,6146.084574458105,6169.829752582156,6184.16310541333,6200.466491179885,6222.0648076911675,34.06270189540208,0.1364085438299584,33.84013112340403,33.9804894985582,34.062060644078485,34.15220741902222,34.28895572071154,6.804550374158907,0.025613417399466133,6.762228537211795,6.788626078469525,6.80416524391304,6.821920243914173,6.845636505047079,215176213.75180262,809957.7303728774,213837895.69512627,214672649.3037947,215164035.00911576,215725490.72115156,216475455.81720072
2033,-3.610942439551866,0.011482139821153403,-3.6308647776257716,-3.6191534886305274,-3.6109908410959988,-3.6026209610800066,-3.592193462684257,39.34144000000012,0.003510897321197973,39.34,39.34,39.34,39.34,39.35,6.416858964141558,0.0015551681621484117,6.414263815494791,6.415814316110847,6.4167056411944525,6.417926985790839,6.419394861419245,163.10686442221876,0.03141274816828985,163.04686872127073,163.08628154831842,163.1089385153648,163.1318699772203,163.15069889167117,8970.480576216396,33.6436391061986,8914.279635656865,8950.20180381383,8969.356356455266,8993.244566315896,9024.87293675739,35.36295069684516,0.13788668464637108,35.13196297873,35.284108669520975,35.356717293339386,35.44858348674174,35.60503989967687,10.448406995546017,0.03897943063338659,10.383860386196446,10.424797221556096,10.447231738424826,10.474550731688444,10.511945512280564,329500963.011539,1229255.32445448,327465421.13909113,328756405.17899305,329463900.1029653,330325431.87452674,331504713.67527986
2034,-3.108581299687366,0.009746802557870596,-3.126169788071755,-3.115123260633698,-3.1089675620958683,-3.1006445533714944,-3.0941563900502294,39.03168000000005,0.004424658178887249,39.03,39.03,39.03,39.03,39.04,6.261726157884528,0.0019478906706113567,6.258582892810649,6.260515133680185,6.261543868224175,6.263023963178732,6.265171112734395,160.42676290952866,0.03826939905141616,160.36700723986425,160.40264242070674,160.42899995450102,160.45620975115187,160.4793792062725,8342.81272761974,31.030904306835286,8291.904292558902,8323.409550057779,8341.124821805768,8365.236734032176,8391.770381116194,41.338979737639924,0.1611627864116298,41.07381675582374,41.24539046180647,41.33030728103719,41.435022195694735,41.61998130233566,9.547528595133524,0.035056467388609874,9.49066043522878,9.524983468818904,9.546610485618446,9.57305813464905,9.602740190291902,301090861.7761309,1105540.7555672019,299297467.48537475,300379878.672673,301061908.2744633,301895961.3342925,302832014.6410454
2035,-1.4648762030466596,0.0061012635585350064,-1.4747244285340728,-1.4691197004522802,-1.4653682627662983,-1.460290367969571,-1.4554629040174412,38.77068000000018,0.007996099048911428,38.76,38.77,38.77,38.77,38.79,6.128768190254227,0.0023421095386937747,6.125115892036778,6.1272226912711085,6.128539771117979,6.130389410505286,6.132880621011605,158.0773932825468,0.03579232523971167,158.02328091588697,158.05089127245873,158.0742783368063,158.1085744970112,158.13102548108776,7821.718387318695,28.586308195838587,7774.948278476652,7801.595700238125,7821.304834694292,7842.381473716124,7865.613277455404,27.571903714337445,0.10385653365921961,27.400159889242186,27.508676656614902,27.56757628258159,27.63873913494681,27.750680079750587,8.89372641801102,0.03158197548020705,8.845211893066052,8.87169966011861,8.89352511605546,8.916842028846354,8.94346972198981,280472556.3183954,995969.1787438124,278942602.25973105,279777920.4815005,280466208.059925,281201530.2216986,282041261.1526707
