year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,0.3663176615513153,0.006541070976623159,0.356261366120112,0.3614959036967539,0.36587465296742894,0.37059131220847635,0.3781031810995796,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,5039.454454214578,18.94996201236198,5008.826002809367,5026.915563945333,5039.771180960548,5053.357537813602,5067.738466083705,25.421547447705585,0.10341148582845977,25.25905472022263,25.35862010662349,25.421177440477088,25.490515177260676,25.58661196279668,5.719753442382501,0.021436836608524076,5.685172805397892,5.705328607317164,5.720087361776365,5.735551478735143,5.7516472645183505,180378144.55897474,676032.0792864158,179287609.59102792,179923242.96035406,180388675.04097944,180876351.43339148,181383948.1338507
2027,-1.7038954495778016,0.0053864772541903465,-1.7128937386967988,-1.7075811306462265,-1.7042813876550587,-1.7000668514217567,-1.69547761532571,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.888610139050375,0.00029151372985812725,6.88816196348399,6.888395249375321,6.888590395634484,6.888800601414661,6.889135380371574,171.74296033533716,0.0072678566406914,171.73178667374694,171.73760282660987,171.74246810357727,171.74770883606735,171.75605535705742,6357.989418790795,23.924454873465425,6317.638399942328,6343.239157671619,6357.371748353186,6374.243401693041,6397.122231951062,34.274041761547835,0.13939695278116562,34.04305958203199,34.19371367084085,34.26667777257145,34.36188676848086,34.509911996266794,7.196020162068398,0.02697031904761422,7.15046241437917,7.179594539814806,7.1954506584603655,7.2142116289332865,7.240014191046812,226933691.83098885,850535.9814855623,225496982.6998615,226415693.40759972,226915731.9652061,227507377.9300401,228321087.52885225
2028,-0.4464314025060681,0.005342612695710735,-0.45464908440661195,-0.45024949538058173,-0.44690941812731344,-0.442622307347268,-0.43788006099986154,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.81276861103561,0.00035883664628762283,6.812222156562127,6.812513298163493,6.812710198614013,6.813072089445832,6.813307515862228,170.02167734054436,0.008955244479349998,170.00803984432562,170.0153056691663,170.02021958108344,170.02925104681387,170.0351264253114,5605.471751039998,20.66508403105999,5570.921014655766,5592.8832889113055,5605.000895300599,5619.323408159601,5638.481633566395,36.259142677284075,0.145212843069423,36.01936097256164,36.17233200944726,36.25309307665834,36.35260496313584,36.50513647771647,6.447036768024136,0.023711502710801902,6.407106761735506,6.432642269616356,6.446412287900019,6.463040758130002,6.484975798654266,203870775.49316633,749814.6233220618,202608092.86230487,203415586.90671626,203851027.93288955,204376860.06989017,205070498.69536465
2029,-1.428466489597237,0.005062910162714739,-1.4365328242072446,-1.4319116330405697,-1.4288041679640922,-1.4250219513998659,-1.4203574635080567,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.7928924929262555,0.000588368585996345,6.791980597323669,6.792452144661171,6.792791780210786,6.793354113013979,6.793797130433555,169.52564244887083,0.01468351849254532,169.5028848845438,169.5146529738251,169.5231290294681,169.53716279046617,169.5482188778027,7010.686580515855,26.348067525377008,6967.691086550462,6994.217483380576,7010.144646137287,7028.149071040724,7052.339624366902,43.72020165561164,0.17896205295666595,43.43126422294493,43.615113670032144,43.71671323438159,43.83825078526617,44.01936372539416,7.888309478530326,0.02952108047001197,7.840079883202873,7.869969744432769,7.887717484126213,7.908200543846087,7.934663410334397,248765727.71493265,930976.793702297,247244759.1966858,248187365.8604318,248747058.57940423,249393012.3507302,250227545.30830556
2030,-3.3790170200875522,0.010823276955604113,-3.397585763694208,-3.386545432219083,-3.3796633911774245,-3.3708469567163317,-3.3623989773143226,39.96999999999995,4.973799150320701e-14,39.97,39.97,39.97,39.97,39.97,6.730251018783225,0.0007618396232290804,6.7291047865516616,6.729721425145363,6.730162708101722,6.730856193056243,6.731453916219227,168.38256239137422,0.019060285795073465,168.35388507759973,168.3693126130939,168.3803529672685,168.39770310373387,168.41265739852957,9921.122381516416,37.520785249340165,9859.28505649339,9898.549078528094,9919.606914034528,9946.949505316183,9982.065614404857,41.228770592903764,0.17841941504051972,40.95726291357823,41.125143345860494,41.22405014559328,41.34631292737632,41.5152988749788,11.497916465580744,0.043427015465978935,11.426444512387778,11.471691330191069,11.495888113013319,11.52783251245365,11.568325073735206,362598293.65855455,1369514.359735112,360344354.142661,361771257.78890556,362534327.531988,363541726.1127384,364818699.52531344
2031,-2.905269072147642,0.009381888506048328,-2.920905683336599,-2.9121196333119492,-2.906010715502248,-2.8975530758260146,-2.8904482006645225,39.70999999999987,1.2789769243681803e-13,39.71,39.71,39.71,39.71,39.71,6.584296918823338,0.0010277809495052304,6.582651839319323,6.583680479855584,6.584163399490901,6.5850083648658,6.585950670625293,165.80954215117933,0.025882169466259538,165.76811481539468,165.79401863146774,165.8061797907555,165.8274581935482,165.85118787774596,10534.68229407756,40.42098398164022,10467.923701666361,10508.445230145684,10535.306541251026,10562.756550566231,10599.233927973472,44.191427467072145,0.18885717450987477,43.9034632803336,44.07624354745007,44.19207380466932,44.3113600575002,44.49282152588196,12.24002605397943,0.04694820008440015,12.162603154982566,12.20907125524829,12.240680201223288,12.273198915696343,12.314968733929105,386001461.63829523,1480558.4378616433,383559853.0955302,385025271.10551,386022090.82577765,387047601.0053998,388364853.99318826
2032,-1.5138263586243779,0.005619395500103606,-1.5230498181539642,-1.5175846904222774,-1.5145040802249692,-1.509825088141435,-1.5044263543674155,39.46015999999988,0.0012547509713083983,39.46,39.46,39.46,39.46,39.46,6.458620013067315,0.0013444652496127215,6.456513078944517,6.4577703018476775,6.458549749226879,6.459558191992805,6.460946055663529,163.6744505302448,0.03276830869071462,163.62172019626246,163.65358088818238,163.67333373610947,163.69888981228598,163.728708750878,6871.2992949025165,25.720255352104964,6828.996226362687,6855.344939860647,6870.78408201027,6888.736550657393,6911.93480334441,69.86374516207813,0.2997741186185682,69.39675720276732,69.68861466970327,69.85907955281411,70.04576479169535,70.36877787074238,7.900586845430682,0.02952025159354044,7.851980038162088,7.882109540820496,7.899970190315749,7.920590752466158,7.947157034061005,249835517.46094713,933501.2039915718,248298453.55877683,249251220.74364206,249816017.34624076,250468089.01078582,251308178.59389073
2033,-3.349965069987123,0.011152399600094688,-3.3689299716790235,-3.3578768809585244,-3.3500004271764268,-3.341868646081879,-3.331508157313794,39.319999999999865,1.3500311979441904e-13,39.32,39.32,39.32,39.32,39.32,6.393017508769446,0.0015616307775970176,6.390548656410547,6.392022381231966,6.39292261108278,6.394090257674446,6.395692632589196,162.58945851397374,0.03971594042718981,162.52666979680941,162.5641500821965,162.58704504279706,162.61674103953322,162.65749319911487,8076.311278738011,30.412195209434064,8024.687367153967,8058.1562127840125,8076.158008762409,8096.706918541406,8125.574574738217,43.808143230479615,0.18080425197905609,43.5186265864959,43.70013250015693,43.802596003288116,43.923894112295244,44.10758633887209,8.79754126564811,0.03290422005316181,8.74139826178966,8.778157548133992,8.797224110403484,8.820683427322574,8.850538137062827,277439261.3534788,1037667.4835965105,275668735.5837987,276827976.43795353,277429259.5456843,278169072.5640447,279110570.6904133
2034,-1.5241391591270081,0.006151816138397248,-1.5340787803449492,-1.5280699054798041,-1.5248195871540695,-1.5198221078745469,-1.5142059068569966,39.019960000000246,0.0006311893535227032,39.02,39.02,39.02,39.02,39.02,6.249120349474501,0.0019063651225369486,6.246125150199898,6.247853543732967,6.248970730087009,6.250431055886369,6.25238897418097,160.15189010205543,0.048469618329925024,160.0749654074807,160.11926047496073,160.1478915962842,160.18531665521192,160.23549395645745,7868.055501443193,29.820147609382676,7819.291338797576,7849.215866022811,7867.746830904759,7888.317099496436,7914.607426993713,32.951721802282115,0.1416877116243857,32.739591859402886,32.861503599807676,32.951308068002106,33.04563896575402,33.163170787037316,8.925288038751125,0.03378123887755812,8.869959619572445,8.903665885388243,8.925076386413902,8.948405489758045,8.977929666536216,281467883.5900557,1065325.1492426733,279723046.5628366,280786007.3616036,281461208.9219489,282196915.52500963,283127989.9638861
2035,-1.9695911542508384,0.006680073657904664,-1.9813786399689766,-1.9742647879989237,-1.969835343877369,-1.9650450323166317,-1.9586522563521984,38.90999999999989,1.0658141036401503e-13,38.91,38.91,38.91,38.91,38.91,6.183437297765695,0.0021407878967144153,6.180062467471335,6.182029631492962,6.183297581082546,6.184920162779017,6.187135109301787,158.91640446583637,0.05501896419209555,158.8296701997259,158.88022697231975,158.91281370039957,158.95451459211046,159.0114394577689,4997.716270178896,18.40597815298054,4965.637615042115,4986.735017402271,4997.296656182006,5010.314866977262,5027.173978895399,30.222661011352344,0.11694688163987389,30.022357616747495,30.157860201571143,30.22085988537598,30.29827109514176,30.425129352211872,5.685507595065339,0.02093077827016503,5.648970896401062,5.673019003990605,5.685001113035814,5.699853292570203,5.719035776066943,179298167.51798066,660073.0235279237,178145946.18890393,178904327.3098477,179282195.10069743,179750573.4344939,180355512.2340471
