year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-1.6440501260574427,0.005452486114207212,-1.6529496222810027,-1.64767402677345,-1.6447019150161506,-1.6400778924894701,-1.6350924008062402,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6809.421543634485,25.488083518649876,6766.94851893357,6794.047538678162,6809.142210291653,6826.763223383194,6850.641145009135,36.94977937750762,0.15116614652022364,36.69959226729154,36.862084579339935,36.94302376118509,37.04526413641888,37.20504508867638,7.8767957539386995,0.029406511606578378,7.827883538810091,7.859139256170693,7.87629899440681,7.896855442340923,7.924108600277175,248402630.89621088,927363.7500250554,246860135.279915,247845815.58259898,248386965.08761314,249035233.2296633,249894688.81834102
2027,-1.5322997283972473,0.005301079032883771,-1.5411068768122882,-1.5359871227767052,-1.532677419608797,-1.5285901744993637,-1.5231809845059918,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.799207964781288,0.0002413319548833894,6.798814065048929,6.799047567665962,6.799179116013908,6.799383779422932,6.799604441782957,169.68325342603683,0.006022759043757849,169.67342313573567,169.67925050326835,169.68253346678085,169.68764111362447,169.6931480355118,7067.994036425533,26.89121623805678,7023.423968164614,7051.5335166945715,7067.007678280981,7086.300902529423,7112.249139671169,44.075603320119335,0.18110699621232396,43.77634624179455,43.974207709044805,44.067962608047054,44.189126087150676,44.38648003466269,8.218383992574065,0.031220146266625396,8.166678942960983,8.199328677116942,8.217393366988528,8.23970931456834,8.269634989874213,259174957.5898154,984558.5326642992,257544387.1452176,258574029.16155988,259143717.22135025,259847472.9442272,260791209.0406732
2028,-0.4668748883290328,0.00610279162822182,-0.475816852443145,-0.47163983649583097,-0.46793146409905684,-0.461805706203968,-0.45710802623769964,39.96999999999995,4.973799150320701e-14,39.97,39.97,39.97,39.97,39.97,6.7318997880684925,0.00046317995754082753,6.731109164924961,6.731578522903376,6.731846803734725,6.732204798531364,6.732687954175313,168.42381256113302,0.01158819008108056,168.40403214723443,168.41577490376224,168.42248695858706,168.43144354594358,168.4435315030101,7200.4242384963845,27.26228591723068,7156.028750014781,7181.794271249256,7200.73853088599,7220.208989689186,7242.313283097775,37.76089857326808,0.15408166288877467,37.513489949698155,37.67026869443395,37.75709132500553,37.861494915942586,38.01662962058451,8.294751219445496,0.03138953430194059,8.243976461158503,8.27369673850086,8.294500050248505,8.317212395288058,8.342986675706333,262299940.96179292,992612.4095096848,260694321.24533862,261634147.7435696,262291998.3889783,263010217.24875706,263825261.85385597
2029,-0.10851414693503253,0.005251416720440233,-0.11640420880196138,-0.11216437742209176,-0.10889131556160783,-0.10543935918574565,-0.09879787874578716,39.92088000000006,0.0028329489935395528,39.92,39.92,39.92,39.92,39.93,6.7112046256418765,0.0006305925232448585,6.710215423468193,6.710794714623679,6.711104389578534,6.7116625478174825,6.712228137819952,168.11264264550528,0.013178696145776703,168.09156872415312,168.1030266372942,168.11222980229525,168.12233411642666,168.13597428214658,5409.128176752839,20.05680485619559,5376.258283226186,5396.095391530445,5409.04953914552,5422.867913303441,5440.038945233479,29.11824952482373,0.11386927353865177,28.92524925810355,29.04602853330593,29.11046976746799,29.192545360856037,29.311099631751006,6.167023656447111,0.022731995997457052,6.129893583916394,6.151912165749869,6.166821228364774,6.182502465669317,6.202795762499567,194483258.02971616,716876.2257758065,193312324.0623874,194006702.05908787,194476874.25771153,194971397.75734758,195611367.16618633
2030,-1.4092924635479256,0.005367555437141738,-1.4180124003753163,-1.4130442935966445,-1.4091805758129765,-1.4054155778449675,-1.4005036963714608,39.92000000000006,5.684341886080802e-14,39.92,39.92,39.92,39.92,39.92,6.706391898441752,0.0007992296918465324,6.70517924170035,6.7058512869299385,6.706310654771206,6.70704333009799,6.707600180623857,167.99578903912206,0.020020783863891747,167.96541186624123,167.98224666658163,167.9937538770342,168.01210746738454,168.02605662885415,6564.106019827005,24.284431316602856,6524.319979669027,6547.2281479637395,6564.000078703799,6582.070627909184,6601.306122925302,37.64674991054476,0.16136029091205475,37.404235712040226,37.54007165715573,37.64817399841532,37.74929793326033,37.88614769794215,7.697075756689428,0.02849603705231105,7.6505548241107,7.677333126764301,7.697206424616971,7.71836644328292,7.740478201934368,242734981.06295797,898651.0244816823,241267896.93315503,242112377.485639,242739101.8067208,243406404.15537018,244103720.57620224
2031,-1.8292129792996,0.006101361942603753,-1.839284285885405,-1.8331364448704899,-1.8297517395510536,-1.8249006142504578,-1.818899548806494,39.790000000000134,1.3500311979441904e-13,39.79,39.79,39.79,39.79,39.79,6.644558301721287,0.0009916044923317829,6.64301995244626,6.643868307149113,6.644463068544038,6.6453584806499295,6.64609145220888,166.9906585001581,0.024920947281522842,166.95199679432673,166.9733175961074,166.9882651054043,167.01076855114172,167.02918955036142,7191.947990852127,27.082473712654885,7146.933295684921,7175.627756819709,7191.331933012607,7210.533462531793,7235.935889139347,34.298453671427936,0.1351197065322196,34.070888710368976,34.215967075204254,34.2897783420693,34.38246258546595,34.52867573603391,8.432021883791545,0.0317783735677099,8.379293536060771,8.412913294682138,8.431359010391294,8.453925145339197,8.483586531410955,265912242.12725043,1002162.7888312986,264249400.95321253,265309633.66109586,265891337.75169978,266602983.38341692,267538384.85457587
2032,-0.5292363962053104,0.005125759324728933,-0.536935018729926,-0.5330153119198678,-0.5299806798060985,-0.5251724107706766,-0.521188714194901,39.67012000000006,0.0010888526071050797,39.67,39.67,39.67,39.67,39.67,6.564531413241674,0.001194170844057754,6.562622045574091,6.563766343803455,6.564345334344992,6.56542654056882,6.566381672385952,165.47798213685996,0.029117966027632444,165.4303515395536,165.4591969700896,165.47379214381124,165.5010471532347,165.52436480458962,6160.516783512639,23.170988035004022,6122.603960639436,6145.2427142479755,6161.009859275349,6176.31280408675,6195.894415957401,35.900287340344626,0.14611096344487193,35.66390637871848,35.81621044311656,35.89550809495039,35.99478024476109,36.14179832357493,6.861506022249987,0.02570224319824771,6.819386850724197,6.8446080390628286,6.862099571079501,6.879175761710796,6.900459404904465,216977288.037998,812766.6153122691,215645378.74834085,216442933.2544604,216996057.47650445,217536047.60712346,218209087.48565096
2033,-2.905901320474313,0.009332519196045707,-2.920599877883188,-2.912707262372691,-2.9057638847512015,-2.8997241248276495,-2.890124241538136,39.62655999999999,0.006400499980471863,39.61,39.6225,39.63,39.63,39.63,6.541259673223858,0.0013938080554774333,6.539074303120558,6.54036711057044,6.541061207295577,6.542286579064961,6.543436123249818,165.07260989604094,0.024206951968186667,165.04044717212653,165.05350964623966,165.0686101675596,165.08960740071663,165.11320018293762,6381.391506168835,23.572106051784957,6341.001283047472,6367.2923497523825,6380.930233322909,6396.987891152823,6420.402401068837,29.104245344271018,0.11438902298306028,28.91411270253794,29.039377675714128,29.09943734838402,29.176780838179027,29.299541114346283,7.2125862041461115,0.02642932700305609,7.167595426351386,7.19690206224508,7.2110327607567015,7.2305181901009705,7.257232009116274,227456118.53395176,833475.2563683772,226037289.3654173,226961503.43496084,227407129.14322335,228021621.6430242,228864068.6394908
2034,-2.7088847238949216,0.008941674192720373,-2.723788932765301,-2.7150974205306726,-2.7093683458000615,-2.701732868683055,-2.6947987565842606,39.340080000000114,0.0008908422980526263,39.34,39.34,39.34,39.34,39.34,6.41601717173452,0.0016174868471800182,6.413390857790261,6.414992117945461,6.4158705007287615,6.41717081552917,6.418589641020952,163.0911062287712,0.04039798341578171,163.02467864235538,163.06538174746976,163.08770972874333,163.12076297735564,163.15682869905825,9303.344901367529,35.48538309783554,9245.075810395825,9281.483014784866,9302.010064274946,9327.702902129447,9360.358429794453,63.87105968756334,0.2675970130247799,63.44426180232096,63.71252800254467,63.863424834443315,64.04138362287082,64.31580742933019,10.06885573954871,0.03811249555694828,10.006166877360283,10.045021796162942,10.067143674477242,10.094525317211467,10.129765906698276,317531434.6024079,1201915.6598839215,315554478.64443386,316779807.36379457,317477442.9183143,318340950.40358084,319452297.63363683
2035,-2.3865630536340827,0.007072742430954974,-2.3988444909454043,-2.391184077694218,-2.3866582843599478,-2.380934876380318,-2.375445538724099,39.15439999999987,0.006118823416311278,39.15,39.15,39.15,39.16,39.17,6.299129021500666,0.0019306580939041451,6.29599106253989,6.297845155675241,6.2989760455182005,6.300525233137689,6.302421119737137,160.87920955267495,0.031396031049676795,160.81714080561662,160.86443099275527,160.8845360803321,160.89910112161894,160.92348522205063,8679.766469297487,32.578198824729014,8625.954386562014,8659.470817420144,8680.135774884733,8702.073883089035,8732.006904220096,37.86092635365189,0.1516571838251222,37.6208013145934,37.77013931623367,37.858196842804446,37.95610365516646,38.11352148453208,9.827783515145834,0.03618806797003287,9.769849983293993,9.80595644893263,9.827424517311783,9.851954030133982,9.885396820434817,309928980.93363893,1141226.911502957,308101989.07315934,309240642.57353944,309917659.5779444,310691222.29430526,311745874.1292324
