year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-1.5438998583942765,0.5827595549010537,-2.3050576733191197,-1.761900575527525,-1.6447019150161506,-1.5049209628685039,-0.5049438367242545,40.11000000000046,4.618527782440651e-13,40.11,40.11,40.11,40.11,40.11,6.872284581933859,4.3520742565306136e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139518,3.950617610826157e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6923.452692218255,387.2350395253504,6436.171698434887,6686.790184342186,6809.142210291653,7083.565673259979,7607.759144976179,37.725224154983,3.173156968462068,33.2244988179348,36.06093550361549,36.94302376118509,39.67984802460228,42.7756165703183,8.025660578607368,0.5543629667623543,7.315586325366285,7.688870856218584,7.87629899440681,8.268517818539248,8.986835656645106,253097232.0069623,17482390.51981762,230704330.35675117,242476231.32170925,248386965.08761314,260755977.9254537,283408849.2679601
2027,-1.4446169198042638,0.6703959066823154,-1.8902777367420052,-1.8657108981740298,-1.8152066075358955,-1.5285901744993637,-0.12504891695370213,40.06599999999942,0.025768197453449607,40.02,40.07,40.07,40.07,40.1,6.803701601901133,0.025803847444008286,6.7701135636893595,6.79399179755798,6.799179116013908,6.805365947072378,6.849772506252762,169.81204074469068,0.5456969825110255,169.1682549647516,169.55307705410482,169.68253346678085,169.83693404223553,170.81726948261252,6572.188248927232,552.867184756887,5871.759951491655,5982.850245343794,6654.5525030570125,7086.300902529423,7275.207795152161,37.11154925134161,4.7134774917146665,32.1929653858435,32.38914023269927,35.745454863310215,41.12950168495854,44.18897924880364,7.592603432429011,0.6415232258963592,6.819876265851451,6.892233991889867,7.62551755804477,8.23970931456834,8.398736794872137,239440341.8450812,20231076.451867595,215071617.91989136,217353491.16823888,240478321.71049982,259847472.9442272,264862563.56308773
2028,-1.0107645634838744,0.3490996557232221,-1.5204428239276198,-1.1635601019195423,-1.0746157368966007,-0.8321492489126106,-0.4618574874579917,39.975920000000336,0.03559991011224619,39.92,39.95,39.97,40.01,40.02,6.740175972909162,0.022068413566928805,6.711280298437956,6.7251610503565615,6.731846803734725,6.764897948849363,6.767552047292805,168.60554703137404,0.4038723153233133,168.08501730578257,168.33611542286488,168.42248695858706,169.0744838987627,169.10424905779124,7510.88083854395,641.6753869850598,6791.188618480207,7181.794271249256,7354.900671436735,7498.761710617767,8732.292524335302,48.153598460019694,16.729393264895847,34.59738414480788,36.05700994792757,37.75709132500553,53.5509117000869,78.97795020300671,8.46755021388172,0.7136622393181966,7.772201093878019,7.932220087003012,8.294500050248505,8.520781216869857,9.827572679208153,267764259.88345352,22567712.796615753,245775651.87104827,250835836.47924405,262291998.3889783,269447551.9523454,310771434.2909919
2029,-0.9100770948697154,0.9344874202727501,-2.0391704523650107,-2.027431744169367,-0.49176628805309563,-0.10543935918574565,0.11516140462625847,39.89270399999911,0.037988003158891524,39.84,39.85,39.92,39.92,39.93,6.695626328192142,0.016259143705134156,6.674287196227719,6.677825124464752,6.70040840650606,6.7116625478174825,6.713786766460452,167.84064797532636,0.2540842178521812,167.52137682240215,167.57079452346778,167.84845670886796,168.11497957292886,168.1389556569028,6608.070384650242,848.0281748165118,5396.190726448405,5918.302291840981,6773.013907467797,7159.318513087873,7806.2075612945555,35.46359246689095,3.3604105913341957,29.04697271386877,35.996305870966516,36.26696528008626,36.80367398081634,39.24299582012749,7.572626270009695,1.0303960561567354,6.152092648090906,6.708854849859484,7.801115967796507,8.104434805410131,9.111392904409067,238810342.05102587,32494570.02695882,194012393.7501948,211570446.5451687,246015993.16043067,255581456.0234139,287336886.6334443
2030,-1.1286912466893593,0.5502484884270699,-2.0778517994013104,-1.4130442935966445,-0.8132413210720602,-0.7930090274108323,-0.5477763170213176,39.821984000000235,0.08822552773432518,39.72,39.74,39.8,39.92,39.93,6.655835436458075,0.05056721778339571,6.589036887082536,6.611231765602501,6.652991165811475,6.70704333009799,6.71889532496916,167.13775376517034,0.9035520191109838,165.88887577584103,166.36214810273026,167.1605820555647,168.01210746738454,168.26685011192487,6295.440204925723,416.3417010033977,5479.534626346355,6333.113475718643,6421.225299301757,6582.070627909184,6671.755553677221,33.165317507691434,5.084574341641515,25.29339899827772,31.05555846743121,32.00121581046719,37.74929793326033,39.78526853016598,7.245791805970507,0.5055167960712089,6.284277030748271,7.236793495489496,7.323240172109717,7.664020478025959,7.720099353685896,228503290.39308545,15941977.68090164,198180960.44167745,228219519.67375675,230945702.06765205,241692549.79502663,243461053.21783844
2031,-1.4061382618861948,0.5036432405914152,-1.83310681448404,-1.7405991447290512,-1.603638351255543,-1.4218347218064291,-0.4327883779097963,39.73060800000029,0.050518415810473775,39.64,39.71,39.75,39.76,39.79,6.6062965815095405,0.0318439447435545,6.553872089508956,6.586839079751995,6.6171081687980084,6.6283068044602995,6.645353235855832,166.2765135235364,0.5920576719907221,165.3279622496372,165.87930449303832,166.4681300326543,166.70791761721074,167.010636739277,6698.549306175885,909.1535727239271,5330.768485754981,6404.828349579969,6457.658215115087,7210.533462531793,8102.994840799034,32.44593738797826,2.904316173474217,28.706522428095486,30.154998164124024,32.004300437840556,34.38246258546595,37.01685165865493,7.695182523563384,1.090834756051769,6.023896238200996,7.338613356779644,7.3924837202747185,8.453925145339197,9.283948449771103,242675276.06309482,34400564.86684858,189969591.76790664,231430510.8194028,233129366.60258353,266602983.38341692,292778598.31198144
2032,-1.3223537192796038,0.638682595222942,-2.445660690326585,-1.4669979289151414,-1.2148759742765627,-0.9606219836854618,-0.525196526376107,39.62947999999951,0.05245464326444336,39.53,39.63,39.64,39.67,39.67,6.544738974307343,0.030642563041106193,6.483836326818469,6.550757529038771,6.554492622880462,6.565405802095193,6.569255232695726,165.14751385139874,0.5576017873624641,164.02699920170454,165.29623614334088,165.3370610392953,165.50052437850246,165.5865027005273,6659.660590373777,910.5231901990801,5782.944499042138,5941.327348409818,6161.009859275349,7204.366270753655,8221.652775673325,35.375468090826,3.9234753847491377,29.865473415785956,32.661612788849865,35.89550809495039,36.82818125693391,41.66890827075208,7.503401820800126,1.1083300180247317,6.3478115658102405,6.723586299705662,6.862099571079501,8.253052175179013,9.346224351502716,237275573.73806983,35048055.16198524,200733036.45867777,212615935.40381232,216996057.47650445,260981317.10438082,295550044.9329595
2033,-1.6990885944789076,0.7715275693479882,-2.9127058997414674,-2.063047387348438,-1.6922198934412713,-1.2126482752951027,-0.6200152381533507,39.512031999999564,0.10768709753726358,39.31,39.52,39.53,39.57,39.63,6.487210986658136,0.05700775864847095,6.378430325217976,6.486827816011044,6.501433425988779,6.5271177693552564,6.542284521505494,164.18047781533454,1.0017400136274368,162.25973862167328,164.14037995979362,164.4683386286056,164.9428263267277,165.0893545176777,6450.637039774057,808.459830657621,5601.408729873957,5633.652683058037,6380.930233322909,6865.735038435208,7790.950068304349,32.85266956022378,5.294885940623975,27.864244078099556,28.95036718286227,29.16843249747182,36.92000493392088,41.43194443507905,7.287651551532715,0.9480386312742398,6.23587316252439,6.4350031151037,7.2110327607567015,7.649928655364112,8.919189541851058,229823379.32913592,29897346.27586445,196654496.05336916,202934258.23791027,227407129.14322335,241248150.07556266,281275561.39181495
2034,-0.8813138082887925,0.9896591485775893,-2.715078271182516,-1.0375898739438214,-0.6073222803188834,-0.05744210089806345,0.008756154275956808,39.34702400000025,0.09366036207489138,39.17,39.34,39.38,39.41,39.45,6.413548883115647,0.05559116126773047,6.3051661921430675,6.414992117945461,6.43622111763111,6.449569585909644,6.461478564008956,162.99716250066572,1.0304511021279574,160.96926709581484,163.06538174746976,163.4296942367306,163.66746661459445,163.8303162493178,6495.24652763572,1471.7542786485294,5285.52486252231,5341.849274736945,6047.297625865416,6493.66534878132,9327.677015499203,36.579133294942146,13.82556403301826,26.389647767267167,28.257863403112218,31.70586626934366,32.62227862317596,64.04100739899754,7.342628437979256,1.4483513401781138,6.113930131831328,6.149360607734638,6.93729224847905,7.442257683922291,10.094478071478482,231557130.42011383,45675207.86385701,192808900.63743275,193926236.12551954,218774448.3480353,234699038.32017335,318339460.46214545
2035,-2.264175780663173,1.0369680812187732,-3.5276015399393583,-2.6462064631829127,-2.4122577165315295,-2.380934876380318,-0.3595548416544299,39.28417600000018,0.12727985317402052,39.11,39.15,39.32,39.41,39.45,6.375401357071762,0.0739546983888196,6.278642735978178,6.297845155675241,6.391200914152479,6.44996953026177,6.458937697369862,162.2849108742607,1.358898924223215,160.5274418037236,160.86443099275527,162.54466523590412,163.67638209346958,163.8126841792041,7794.931699617225,1321.0399039955064,5378.343137247961,7650.836553050102,7991.262153525944,8702.073883089035,9269.705800921407,34.97661043679461,3.570354844758212,29.45482703165692,33.320685559036015,34.36370923796596,37.95610365516646,39.83398450850304,8.87528871843426,1.5241724154322107,6.166965566839252,8.644279289591086,8.990008521027365,9.851954030133982,10.743178586546195,279891105.0245425,48066301.2930702,194481426.11584267,272605991.6765444,283508908.71911895,310691222.29430526,338796879.90532076
