year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.5303602116325783,0.005864133617640349,-0.5392579872421217,-0.5347544026287497,-0.5305310594257727,-0.5263931534276581,-0.5203710003746578,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,7912.872918078255,33.01200170548768,7858.570734295716,7891.791950235859,7912.5309443725655,7937.689113931603,7967.098887966153,40.71165345440265,0.17146279660030408,40.426583612746995,40.60264115115511,40.7012117224854,40.83518017391518,40.991632823164615,9.086872058802337,0.037783632700639135,9.02489230676295,9.063016106720983,9.086351367396425,9.115337507496179,9.148966491791036,286563597.24639076,1191544.640847359,284609003.7860764,285811275.94155294,286547176.7222136,287461283.6363995,288521807.2851221
2027,0.2729942373961146,0.006968627394769675,0.26217297709089116,0.2682007943059427,0.272788800155465,0.27708637469571507,0.2859235856009181,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.848639916762037,0.00026131405959755797,6.848243419339311,6.848444105417561,6.84863230354356,6.848816694467283,6.849085050095653,170.78902535566178,0.0065165600897140255,170.77913763938432,170.78414227973968,170.78883549983942,170.793433777239,170.80012593754745,6038.708905755575,24.927760842345478,5997.186466852634,6022.813799378822,6039.757412538958,6057.980705783085,6079.374078668503,38.57636218650139,0.1777133163576821,38.275618143069465,38.44674364352077,38.587782124346475,38.699419835417416,38.86058770352035,6.908165252542543,0.02835340981948449,6.8613622086442305,6.890475977312256,6.909024887674116,6.930248763528368,6.954657382582463,217855899.4041817,894153.1320672628,216379918.61180443,217298050.42051932,217883008.8576909,218552325.00663063,219322075.21712053
2028,-2.489642149802534,0.008729099956476232,-2.5040982885618344,-2.49567865319068,-2.490163559737316,-2.4842073201036783,-2.4752496609944425,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.860803326672688,0.0005539090850896014,6.85998164976974,6.860408004666352,6.860771700813872,6.86116611798451,6.8617569536212315,171.09235228610189,0.013813194141885261,171.07186159026782,171.08249388195392,171.09156361131852,171.1013994509853,171.11613350676387,9148.502416969251,37.19199977594373,9089.503589112754,9125.886592558398,9145.645331200965,9175.28892816781,9209.55382028865,43.91074791170778,0.20607844226214944,43.56585584140723,43.75511498194543,43.91910500074703,44.050223112971906,44.25079265344045,10.610453260141057,0.04303254706119767,10.542220973072528,10.584392650306132,10.60710343440749,10.640967383101335,10.681263925425403,335527997.1734847,1360792.4161880151,333370328.4988887,334703898.14504063,335422067.6442074,336492926.97538364,337767200.35537225
2029,-2.6166204276970406,0.009677863835005757,-2.6333952628606117,-2.6228551509395697,-2.6169271646210515,-2.6104660138446185,-2.6006998086669584,39.979999999999755,2.4158453015843406e-13,39.98,39.98,39.98,39.98,39.98,6.750863463995393,0.0006974617195276744,6.749766265710937,6.75031087356697,6.750851715536728,6.7513890765587625,6.752084803279426,168.85601460718846,0.017445265621002418,168.82857092823753,168.84219293564206,168.85572074879258,168.8691614947164,168.88656336366748,8752.577402492096,35.117135374506695,8695.48343120619,8731.33391625885,8747.245517319905,8777.417285547306,8810.775054293996,40.13822265317183,0.19494013238189742,39.795070766151795,39.986870075880674,40.158278351805706,40.27954407362564,40.453998222347145,10.056266800600527,0.040232001835865096,9.99087839820541,10.031936202631158,10.049974094380076,10.084471033101373,10.122865101864805,317134429.8237383,1268756.4098958417,315072341.1658059,316367140.0861762,316935983.04037005,318023878.4998849,319234673.8524085
2030,-0.07812405893340191,0.005024226680279665,-0.0857431646115857,-0.08150562500506785,-0.07799100249508217,-0.07460285642437646,-0.07033021217462454,39.790000000000134,1.3500311979441904e-13,39.79,39.79,39.79,39.79,39.79,6.636525438506703,0.0009572928590605703,6.635163576560068,6.635768623001647,6.636346069775831,6.637305528371019,6.638095118147258,166.78877704213866,0.024058629280235864,166.7545508057318,166.76975679823187,166.78426915747252,166.80838221590898,166.8282261409213,5024.440667949828,20.94687091512973,4989.6453069078925,5010.755729567039,5026.117709364257,5040.080284546541,5058.724709722587,32.40108147232027,0.15454731387693837,32.131748339467535,32.28336973996479,32.41379515282894,32.51138600179992,32.64941845945814,5.924407901629962,0.024704606053623342,5.883240930002229,5.908230469560839,5.926321416082143,5.942686195426476,5.964907569162625,186832127.58580258,779084.4565070649,185533885.9685503,186321956.0880706,186892472.17756647,187408551.85896936,188109325.10111254
2031,-0.2624368575876927,0.004149162305053149,-0.269553508928135,-0.26499139842249086,-0.26240179255988844,-0.25974807938596123,-0.25495967496478333,39.78200000000007,0.00438178046004046,39.78,39.78,39.78,39.78,39.79,6.633064619809229,0.0010974350027536386,6.6314349706658575,6.632195357224192,6.6329111522708075,6.633935542827199,6.634979877171393,166.73532267752714,0.017729125435728486,166.70581080885316,166.72266428506143,166.73417643146388,166.74759163922084,166.76476806367592,5939.254114577489,24.440472312958278,5899.150199967166,5923.941354357481,5939.604393260512,5956.976189344136,5979.686135114794,32.80339407475276,0.14294326913375482,32.57089555405259,32.70227364394772,32.807523508483875,32.90349091169483,33.043211246183624,6.679614325079379,0.027202862053186238,6.635659709236295,6.662462372914761,6.680340092514868,6.698992272755688,6.725141306092058,210648317.35570332,857869.4577092815,209262164.5904758,210107413.3922399,210671205.1575489,211259420.31362337,212084056.22891915
2032,-0.8191622036835561,0.005311410495579142,-0.8265302661643101,-0.8228999281373397,-0.8198768908894831,-0.8150572103669773,-0.8094936439579636,39.75860000000015,0.003469870314578793,39.75,39.76,39.76,39.76,39.76,6.621501139268283,0.001238674385736449,6.619637844547403,6.620521517059922,6.621440801515934,6.622467486731818,6.623664259433202,166.54261279714532,0.02532062056992913,166.50944191378068,166.52228811326495,166.53825784222602,166.56105348923083,166.59115340626767,5740.005823886844,23.73669875071998,5701.1661162178225,5725.341631140352,5740.556494711002,5758.072093055949,5778.338974309727,33.26303976293517,0.14706087787931396,33.01955836450822,33.15983339460881,33.27197912541973,33.36485991738056,33.50253851874613,6.347190297452842,0.02594671774703648,6.305015741450354,6.3309060232845615,6.347000348704319,6.366849623943765,6.389164942432578,200713390.46217278,820497.4872838876,199379729.78243968,200198442.6307137,200707383.82686746,201335065.54819936,202040729.47557995
2033,-3.070232196495303,0.011331490313583875,-3.0903882099117754,-3.076978713470227,-3.070340044817261,-3.0622187873968585,-3.051090780031194,39.7008,0.002712931993249573,39.7,39.7,39.7,39.7,39.71,6.58543028401963,0.0014656818795264579,6.583171833124185,6.584284721709708,6.585348149651408,6.586623391566187,6.588014582520512,165.87651280779244,0.03210970828921642,165.8229680887704,165.85100054684403,165.87778714487175,165.90506415235626,165.9231335345631,8653.404569240374,34.42626369040555,8598.253276452679,8632.536914089222,8647.815758370114,8677.598895536967,8710.121832760058,37.26209670190809,0.17850146212208798,36.948173955720264,37.12481343145741,37.27830314936557,37.391426363275535,37.54935274899122,10.205019463629181,0.04050374268788052,10.141639469298719,10.180250637920006,10.19834361760945,10.233290267038296,10.271748232165951,321825493.8050099,1277326.0294049988,319826742.3038044,321044384.1174453,321614964.3249316,322717041.8613197,323929852.2495854
2034,-2.5629996483608193,0.009769398416919687,-2.579566205777219,-2.569102687943685,-2.5639956741098646,-2.5560782028502786,-2.545961948397741,39.43636000000008,0.011417109967063282,39.42,39.43,39.43,39.45,39.45,6.452639005977846,0.0017525646186293384,6.450116907733992,6.451252095816509,6.452307329766369,6.454050335357302,6.455644069853396,163.6215683567991,0.01706194526840616,163.59270862188762,163.60943475439382,163.6218704695169,163.63331043859978,163.64594667802737,7966.8816876598785,30.977638400731514,7919.977583947982,7947.239948651372,7963.244107122705,7989.223594242623,8017.540831315476,40.092916434998415,0.16080660490579496,39.83315051869511,39.98445987126935,40.078063935747906,40.2146385243294,40.36289661198201,9.229034497476889,0.034901251555465265,9.175310046252626,9.204909736639113,9.22644880590083,9.255369834491965,9.286225308670977,291046831.9124312,1100645.8690531545,289352577.61862284,290286033.4546511,290965289.5428885,291877343.10053855,292850401.33424795
2035,-0.8091958349906804,0.006480964132331204,-0.8199470030014375,-0.8134603629268234,-0.8092850188762686,-0.804565269010218,-0.7988973684694682,39.20699999999992,0.006465291950096568,39.2,39.2,39.21,39.21,39.22,6.342015315376004,0.0020702068145018286,6.339019188472663,6.3404873562000015,6.341628563374802,6.343562053716226,6.345528905295731,161.7572164502335,0.03168033828342091,161.70967317532302,161.73355400974705,161.7566871168953,161.78073026362821,161.80961180241553,7405.398925626094,29.137247733361406,7359.131152701631,7387.323074945269,7405.753449307698,7427.006024426036,7454.292648677983,26.572493699608376,0.10874748200850681,26.39098068826314,26.499409758974394,26.56620832809181,26.652999223897496,26.749402388812317,8.537296699636798,0.03282472199367485,8.485689240818312,8.517001888703446,8.538187435762968,8.560649744882067,8.591861226183186,269232188.71974593,1035160.43279253,267604695.8984463,268592171.56215185,269260278.974221,269968650.35460085,270952935.628913
