year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.08021369685677701,0.0056754573728112915,-0.09002219369674859,-0.08403473374069141,-0.08046041480601168,-0.07669426221269163,-0.06976426055544434,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6950.348288212939,28.552189528494296,6903.536232021268,6932.495185439215,6950.421286511454,6970.93740154521,6997.507347308766,43.396585711547935,0.19778892992528943,43.07624261553461,43.24902783216411,43.39641108537568,43.5279244116424,43.734153613602764,8.169212481799585,0.03350017313054477,8.11443644531648,8.14805793127307,8.169482716947474,8.193317138473542,8.224605596804807,257624284.82603166,1056461.4598448605,255896867.73950052,256957154.92062756,257632806.96165553,258384449.2789016,259371162.1008364
2027,-1.2721916177131911,0.005725866929947337,-1.2808245060704426,-1.27632540764615,-1.2725392836430713,-1.2674699644026548,-1.2624676468565526,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.868709724843984,0.0002529362169149347,6.868272592834818,6.868539433966859,6.868698729447382,6.868866574314623,6.869175421388482,171.24681438155037,0.006306063747567394,171.2359160517282,171.24256878501268,171.24654025049568,171.25072486448826,171.25842486632965,5813.211944989544,22.790585728122508,5776.642831819747,5799.298076772767,5810.255673999729,5829.5716338443335,5850.049080141467,28.64413757166328,0.11550353908334607,28.460392612901966,28.57045938854466,28.63134975163743,28.72940655235107,28.830459990010905,6.719059441981407,0.02627392383869765,6.6768867509048935,6.703107258791742,6.715448395279188,6.737936914041974,6.761529910986501,211892258.5623257,828574.4621771692,210562300.57653672,211389190.5132564,211778380.5935245,212487578.52122766,213231607.2728703
2028,-0.2314412246696997,0.0053315789197146335,-0.2395767769135477,-0.23498250293729225,-0.23141219006734298,-0.22809587311274007,-0.2223432620181985,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.812117094958582,0.00042100589377696695,6.811420729190542,6.8118029338307995,6.812131648156978,6.812412411574641,6.812821145184797,170.00541789265247,0.010506760513525988,169.9880391612314,169.99757758499624,170.00578108702217,170.01278791052263,170.02298839992005,6548.225631444256,27.058883205704998,6503.618315157147,6531.115501197366,6548.870795390152,6568.325070920723,6592.864722505635,33.638282216078224,0.1437792830840458,33.399813232152894,33.54344237907148,33.63455543937388,33.74601674096381,33.875232083482224,7.408515641777455,0.030437589884249525,7.358525591929733,7.3897125504866175,7.40870728512797,7.431140494907688,7.458892044450289,234275045.03054333,962509.6423556905,232694239.67823878,233680446.156508,234281105.25323072,234990497.18616888,235868067.78642485
2029,-1.2428275812143574,0.0062118466210608235,-1.2525618401574004,-1.2472277850856601,-1.2434004364442512,-1.2381971992413594,-1.232248879631404,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.801812817322452,0.0006330046209862897,6.800716907750704,6.80137569702023,6.8018060525540385,6.802219848070533,6.802999666479231,169.74826097635264,0.015797469952240108,169.72091109934377,169.7373520594018,169.74809215258392,169.75841896856835,169.77788037133092,8317.258850682425,33.952798857151706,8261.957710739574,8295.851758702682,8318.322982678972,8341.38851537104,8373.790572288302,32.14898833514088,0.15046760652153632,31.88552951987242,32.03766510857223,32.16146243871579,32.2556378023777,32.384666055741,9.540302075028649,0.038778271189235,9.478125404214893,9.516029139940514,9.541817286014929,9.56805976852022,9.605070011618182,300862966.2381035,1222911.5602237138,298902162.7473209,300097494.95716405,300910749.93176675,301738332.86005366,302905487.886391
2030,-0.579756333391094,0.0044125162779106416,-0.5864879701089154,-0.582815051868993,-0.5798122572046738,-0.5768816796343087,-0.5718115226309983,39.979999999999755,2.4158453015843406e-13,39.98,39.98,39.98,39.98,39.98,6.74706294583109,0.0008597567993318541,6.745611645259492,6.746485500665405,6.747064866943637,6.747711328882547,6.74860013833684,168.76095412283883,0.021504672319456866,168.72465345821644,168.74651077202114,168.76100217467825,168.77717180796765,168.799403160001,5456.491643550876,22.00223689624954,5420.793911870716,5442.7351607241735,5457.578168649236,5472.598414875806,5493.417471651789,22.406235381086585,0.09100244534990129,22.260184514892956,22.34858865976065,22.397820262152802,22.47201469064629,22.555434831159605,6.4073695403786495,0.025843171722296415,6.365510457950142,6.391256365405458,6.408597908189886,6.426322696221155,6.450725499604166,202062805.82538122,814990.2634343411,200742737.8019157,201554660.73942652,202101543.63267624,202660512.54803035,203430079.35551697
2031,-0.11177536544808384,0.005699049591135709,-0.12154683720370102,-0.11588783048188918,-0.11206479014820511,-0.10772613463911808,-0.10087962190831805,39.94968000000003,0.0023446961423609332,39.95,39.95,39.95,39.95,39.95,6.721309199732156,0.001048896156300816,6.719579002883928,6.720604364694105,6.72131773305154,6.722074108430386,6.723178562699739,168.24438153209184,0.02505611124428902,168.2038562220212,168.22631784801206,168.24438644634296,168.26371269522747,168.28982635043153,5447.727848918112,21.814032492189895,5412.7304547875265,5434.457044715449,5447.025323956546,5464.290771973447,5483.335602225066,33.03644917505126,0.14461335653370677,32.79844112222987,32.93568020494802,33.03486623522235,33.139807004351354,33.279622021850805,6.344132353421546,0.02534301866499502,6.303500052819532,6.328847388745386,6.3429196179536955,6.363408228178626,6.385522011297854,200068557.89750174,799217.4366192822,198787177.6657168,199586531.2514745,200030313.07178771,200676441.88384116,201373822.14828914
2032,-0.2892499858076193,0.005108466074645409,-0.29800243428191625,-0.2923041653041557,-0.2892959569721163,-0.2858397844447098,-0.28044377126291936,39.93004000000014,0.0006311893535222544,39.93,39.93,39.93,39.93,39.93,6.71634641594267,0.001262644886344652,6.71419570931259,6.715490789145821,6.716325579714102,6.717181579236356,6.718639136771838,168.20284715107562,0.03136385207150614,168.14915375188053,168.1815875067824,168.20249385710252,168.2239313607903,168.25932749892436,5867.091631735392,23.394170519638816,5830.257975388414,5853.095630832331,5866.520634202598,5884.5135370120015,5906.013879733472,31.74564268613748,0.13010127832023194,31.53272718536804,31.660750171374488,31.732624169444108,31.841091942229266,31.962033908226317,6.786974241782413,0.026995792749104085,6.744488369991137,6.770600953789563,6.786457772252654,6.806895208682997,6.831903720749519,214620414.26334032,853671.756629268,213276909.0312077,214102651.60111505,214604082.25728232,215250363.04705718,216041192.21902958
2033,0.007111432588689856,0.004102934931153663,0.00045259130543559003,0.004460133699995759,0.0068441165808124545,0.009577397031338959,0.014448522305998857,39.92000000000006,5.684341886080802e-14,39.92,39.92,39.92,39.92,39.92,6.703539939785358,0.0014702599466959166,6.7010061453275,6.702547203427709,6.7035477555874445,6.704477706232149,6.706276066513658,167.92434718901185,0.03683015898536995,167.8608753839554,167.89947904378027,167.9245429756374,167.94783833246868,167.99288743771686,4729.532780981028,19.315131170790814,4698.4407073461825,4717.500706816698,4730.237694025564,4743.560264799713,4761.584868818274,36.220371351167245,0.15272805014484606,35.97384055041147,36.12630716755547,36.20737995310098,36.33025612356299,36.473560429066524,5.365742717088248,0.021840178895733146,5.330513758679969,5.352098502698666,5.366551395080986,5.381641063076863,5.402042084723652,169214062.32609513,688751.8816558421,168103081.8937315,168783778.38110512,169239564.79527396,169715432.56519195,170358799.1838451
2034,0.10165170149750309,0.007017296807478072,0.09107262105291461,0.09680851713810941,0.10141624427529256,0.10608921851151731,0.1133952076743443,39.92000000000006,5.684341886080802e-14,39.92,39.92,39.92,39.92,39.92,6.703855373145957,0.0016345703478189972,6.701050373636281,6.7027745988781575,6.703831400364381,6.704943988281792,6.706919854993592,167.93224882630167,0.04094615099747025,167.86198330752208,167.90517532259912,167.93164830572096,167.95951874453385,168.0090144036471,6970.594382232139,29.4183795435893,6921.117949166907,6951.532909326022,6972.10540186732,6992.835769486522,7018.366258180579,49.96941484721092,0.2275424482662087,49.59158362706818,49.80229883407711,49.981116200876805,50.12275405692984,50.34298844281559,7.6777903622593255,0.03214514399918814,7.623968170882308,7.656964830637855,7.678921160536305,7.7021857934179,7.730235903080983,242126796.86420992,1013729.2611583974,240429460.23694444,241470042.8989954,242162457.71867293,242896131.1812269,243780719.43956187
2035,-1.7712336677013671,0.006903500764990763,-1.7809255869666936,-1.7764462101476688,-1.7718047873102492,-1.7657990344640906,-1.7607231884642243,39.92000000000006,5.684341886080802e-14,39.92,39.92,39.92,39.92,39.92,6.708364190839056,0.0019086778270147528,6.705043097472562,6.7070677933783465,6.70829835180975,6.709595471538862,6.711945663285103,168.04519516129895,0.047812570817002346,167.9620014396934,168.01272027500866,168.04354588701779,168.076038866204,168.13491140493744,6694.14200397606,27.127728715178105,6650.499268627242,6677.822421721815,6693.003763703211,6714.850632444683,6739.079233846782,51.1791233501936,0.22881868553555576,50.80878890334912,51.0118573282475,51.182993419279896,51.33465395670835,51.56097136888643,7.376810417815145,0.029659877939737227,7.329762522083337,7.359061977797049,7.375670846205717,7.399126921419393,7.425854986010736,232635093.33621848,935353.9107075529,231151390.89642012,232075378.53180775,232599155.8059435,233338866.59388196,234181762.83883458
2036,-0.3086526123710092,0.0051116728641512205,-0.317735596198642,-0.3120947345807801,-0.30788627055544204,-0.30479821597772516,-0.3016670349239083,39.76328000000019,0.009057681822630347,39.76,39.76,39.76,39.76,39.79,6.630791358065908,0.0020342694248269267,6.627392677196849,6.629405009902731,6.6307148169806425,6.632152411144914,6.634484294810791,166.75665094884542,0.03944941524850052,166.6849264888544,166.7328232469106,166.75314251945133,166.7900095725545,166.81544045599372,6982.576099377919,29.029708883134976,6934.903382277243,6964.106940258696,6983.270352212571,7003.853844355079,7030.6792514347135,32.648536937384456,0.15527615703047593,32.382160443545764,32.52876684790749,32.655999731942075,32.753635036697354,32.90221886722175,7.924550995528858,0.033089399714583065,7.8700036564145845,7.9031756294371025,7.924496118888969,7.947749358898971,7.979240959803641,250593321.40101174,1046366.2335344316,248868403.62460458,249917381.02431184,250591586.06995457,251326909.32684684,252322749.32729468
2037,-0.5600177646442921,0.006317322920344509,-0.5715898695199337,-0.5638178009511067,-0.5599928871994712,-0.5558644622284263,-0.5486320740379708,39.748919999999984,0.0031038041175299944,39.74,39.75,39.75,39.75,39.75,6.617172645016328,0.002241719967592009,6.61337029162092,6.615656548548507,6.6170844135091516,6.618757578660702,6.62113176388659,166.47427353730816,0.0497463557103456,166.40680721116954,166.43343920813774,166.46753241532457,166.50962462039502,166.56935255060603,7920.263610199139,32.22044221845684,7867.830635586069,7900.783626652478,7920.432163112713,7943.830072241443,7973.970175151982,42.07487477335887,0.18958629878454833,41.76503222113734,41.93872341957201,42.07720760883067,42.20374247001169,42.389892451128055,9.014840870265006,0.0366133566716548,8.954898115824484,8.991918243477432,9.014961349876813,9.041267784886077,9.076106685286335,284292021.68467706,1154638.8159973065,282401666.98064095,283569133.7263043,284295821.1297152,285125420.86416733,286224100.4271899
2038,-1.992902357723169,0.007345114842415857,-2.0057811559272376,-1.9977785978605205,-1.9933587751568222,-1.9881888819605198,-1.9805322218875936,39.716479999999954,0.006419470383137805,39.7,39.71,39.72,39.72,39.72,6.592444538450651,0.002508111167717457,6.5881460826020435,6.590776100588879,6.592367285407976,6.594172484885341,6.596881182555259,165.98763037080948,0.0461165728266839,165.93316264063841,165.95063611031682,165.97237960215608,166.01642711191693,166.08462191730257,7167.812313104167,28.365310682240207,7122.751391217134,7149.900796154153,7164.752816184938,7188.199560894519,7214.601895997043,31.58929821501885,0.13168272655558028,31.380343172817206,31.50367226778991,31.56968891420658,31.68866129712587,31.80981479453818,8.380148782802225,0.03329591373909618,8.327270224515576,8.358324765054078,8.375140259434893,8.404653853930041,8.435289288881293,264276372.01445097,1050019.9356761381,262608793.80032322,263588129.79074544,264118423.22153878,265049163.93753776,266015283.01416045
2039,-1.140249427083745,0.00571287216799488,-1.1486254629904014,-1.1450553388383489,-1.1413534048989682,-1.1354789640366596,-1.1308766183721473,39.530000000000044,4.263256414560601e-14,39.53,39.53,39.53,39.53,39.53,6.505751496973444,0.0026469324515293146,6.501243700786393,6.503961274791902,6.5057405404900805,6.507646111265997,6.510420288936053,164.577573917871,0.0669600923736223,164.4635391041334,164.53228623303568,164.5772967490534,164.62550243526425,164.69568148080072,6636.424942958316,26.846658529120386,6593.794471370658,6620.069588789076,6635.413577912184,6656.379085701587,6680.736728506935,30.925322455752962,0.13273419090975028,30.705061137357834,30.837058720089466,30.92433181139248,31.0263806162221,31.143473323133385,7.324291984365519,0.029435606950667742,7.27765893816717,7.3066081210870335,7.322614729991854,7.345712001322407,7.372769711396309,230978872.01895118,928281.3007962564,229508252.2740399,230421193.7066007,230925978.12502313,231654373.6737034,232507665.61859402
2040,-0.20801968396378256,0.005229555993139999,-0.21560148189367234,-0.21194523199634355,-0.20835613834076058,-0.20423943276353151,-0.19950328976283382,39.42028000000007,0.004137825515896453,39.41,39.42,39.42,39.42,39.43,6.455829069466277,0.0028371091123386336,6.451001878257043,6.453839254655625,6.455802277360961,6.457896692409816,6.460864209078013,163.76923046106666,0.06036290063165573,163.67679061381645,163.7199202094273,163.7697178427438,163.82284861516527,163.8620921083536,5776.559307271493,24.094441224648943,5736.608841914814,5761.062107448071,5777.673602693382,5794.828611192132,5815.886454914939,33.86733510344002,0.1608176794448632,33.58617411880632,33.73988098397476,33.87330267423624,33.98085349825588,34.132347222335554,6.679732170203194,0.02792159533681649,6.633503722511309,6.6616988084723605,6.68064752898541,6.700881776035704,6.725501904596029,211229162.57903343,882947.8563789459,209767308.11474162,210658904.40103638,211258108.4205882,211897963.87451145,212676511.42789745
2041,-1.479168222340392,0.0064344861139453815,-1.4882550485075752,-1.4838864379210461,-1.4797726447799002,-1.4744077639109516,-1.4682798913112354,39.40123999999987,0.00860595142909664,39.39,39.39,39.4,39.41,39.41,6.446709141457792,0.003044905900974433,6.441638221418623,6.444565849562843,6.446664277063809,6.448904305338063,6.452149361917439,163.61690250710444,0.04714333573145151,163.54113257347356,163.58703859648338,163.61125241545406,163.63825630607693,163.71858314938945,6363.148906317506,25.051955722585294,6322.703479153399,6348.111441364994,6361.511639667588,6381.427314021094,6403.763717354543,36.64953208329781,0.15708086927347759,36.3877784488505,36.543904629217046,36.64658410895251,36.76188914788832,36.91184569904634,7.199722489666977,0.028081425536769504,7.155774156126587,7.18286010615936,7.197294528039958,7.219788223676298,7.246448138787226,227050448.43413776,885575.8357275624,225664493.78760806,226518676.30784157,226973880.2362681,227683241.42185575,228523988.50479397
2042,-0.3981818630786157,0.005209363018087982,-0.40783936461111325,-0.4015519049713864,-0.39772717287202275,-0.3944612122862594,-0.3895616264903254,39.29412000000009,0.007551529646370617,39.29,39.29,39.29,39.29,39.31,6.3825129129384255,0.003261638149255301,6.377054461652526,6.3801191459989095,6.382424552655596,6.384837748915328,6.388256647748971,162.42920495897516,0.0625792634049502,162.30731640754712,162.38531804527636,162.44399472271812,162.47911371019518,162.50970866825162,6106.361737882575,24.727114540206234,6066.238351002248,6091.363645650315,6107.2079583302375,6124.604610205694,6147.525299146346,30.354056544401242,0.13965827557651822,30.115674694133666,30.245859652440238,30.35719630343895,30.451512760914234,30.591204737822775,6.872003600061407,0.027589500652002545,6.82728021802337,6.8552910553876165,6.873241206675257,6.891775720712265,6.917766487300061,216715505.5315363,870062.492561552,215305108.955585,216188458.72270387,216754534.69371092,217339039.128382,218158683.9434947
2043,-1.5051216449323925,0.005329653379111776,-1.514273486989761,-1.508912802161743,-1.5054970090711937,-1.5013255125199556,-1.4961000326517089,39.26364000000012,0.01155640082378644,39.24,39.26,39.26,39.27,39.28,6.365143776406305,0.0034808098736476734,6.359270148915914,6.362590932234441,6.365066710331677,6.367592284272272,6.3712938450274486,162.11292140094884,0.04850119924954856,162.04186934174874,162.07005019921579,162.11556688465748,162.14758436109537,162.20198179805112,6106.039215992164,23.968211667471113,6067.49462953884,6091.605279828826,6103.891707313038,6123.3794759760885,6145.509188081222,31.6461239939451,0.12907044405909346,31.44034720903473,31.5584625834591,31.628357078405834,31.74158767244905,31.85833107389049,6.812794334986493,0.026520581329424066,6.769470826115131,6.796248863436267,6.808985613148227,6.832235025703914,6.856807742257462,214848282.14813405,836353.052804716,213482031.97236678,214326504.1573261,214728170.29624248,215461363.77059865,216236288.9598313
2044,-0.37185161882523066,0.00541955390041183,-0.3810559925152329,-0.37532506293381146,-0.37238908376461,-0.3684572431090748,-0.3615051759999927,39.14519999999993,0.0049959983987177235,39.14,39.14,39.15,39.15,39.15,6.299932074310697,0.003707254296891032,6.293791197931935,6.297222840849715,6.299820121173087,6.302641978197747,6.306353683887058,160.93752959262264,0.0784552307940333,160.80202345252772,160.88969956182203,160.93260892215557,160.98702370875472,161.0818310060551,6263.84936739752,25.477007624278304,6222.7644793377785,6248.514395720963,6262.7945789354035,6283.227515068941,6306.049640014313,54.58342250602624,0.23817708493903222,54.19634654951837,54.41263116840762,54.57315731587274,54.75425006522471,54.98794875445517,7.108474554200609,0.02872281298872331,7.062191675302188,7.0908331170031325,7.107864242079278,7.129292390117208,7.156174007851013,224787025.7427531,908284.2814546049,223323450.0330759,224229161.15911987,224767726.20872775,225445335.6772424,226295396.94586787
