year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.11246040366698903,0.007064454104653333,-0.12413434608350812,-0.11811864547703192,-0.11207818088765423,-0.10705368419126322,-0.10126387189510967,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6715.778169075417,33.3625349710959,6659.223652764471,6692.438991579167,6715.017314386712,6738.95790375597,6770.14005279442,34.73497006595194,0.1857820713621038,34.42660896720177,34.60262777803933,34.73539648236157,34.87181706029076,35.03088277564929,7.725104887237587,0.03825891187313863,7.660233779428308,7.6984939989010766,7.723892758494517,7.75203780626558,7.787272173310937,243618907.72392455,1206533.0448312995,241573132.46805114,242779706.74934435,243580682.0318831,244468264.25839135,245579415.2575337
2027,0.5806439733653198,0.009617190079751836,0.565832369718263,0.573325379593267,0.5806743058383796,0.5878466022653629,0.5957892157023306,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8672725966104755,0.0003148391712640293,6.866752327910114,6.8670204276338085,6.867289631005677,6.867513556075112,6.867771588709777,171.21098470731684,0.007849393449614021,171.1980136601873,171.20469777197232,171.21140939929384,171.21699217340094,171.22342529817445,5488.616041877566,26.91040659549008,5443.587683643308,5470.2304667987055,5488.678662926863,5508.798809602953,5531.393803665972,24.99694548106855,0.12492753706190267,24.791325840882486,24.905867290964114,24.990023288484377,25.09418951791369,25.201329474450652,6.444160684375596,0.031590504039371664,6.391421151420855,6.422973475144728,6.4440627884921735,6.467704489455103,6.49444804354233,203223051.34246886,996238.135385625,201559857.43120807,202554891.51216412,203219964.09788918,203965528.7794561,204808913.5011509
2028,-1.4152830790581725,0.007724552485951515,-1.4265927181622677,-1.4212155862144176,-1.415442994503519,-1.4096103828261435,-1.4025762767851724,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.893149963023458,0.0007332629827005228,6.891985104268847,6.892553512385966,6.89314614666991,6.893720506119825,6.894297580085769,171.85614467772268,0.018281300989792523,171.82710307326965,171.84127430530953,171.85604953053877,171.8703691378665,171.88475642198378,6044.453763840587,29.192705793310243,5998.311342400381,6022.360533354861,6042.017423104284,6066.907808799048,6096.962311338633,35.62825802021633,0.18583758059870645,35.3194093633155,35.49417858271978,35.617665781869675,35.77365328582173,35.93790717205459,7.040250025130689,0.0339902211039423,6.986643856635315,7.0145324079120694,7.0373475813536235,7.065731417301434,7.101472921836933,222629602.3946927,1074852.367837304,220934446.69206458,221816349.61595863,222537820.1565968,223435385.17047286,224565617.32349625
2029,0.7679189940043962,0.010594211653179395,0.7514334032315791,0.7598854957284922,0.7681744104377646,0.775632361228455,0.7845542828208841,40.08047999999995,0.002137662274543076,40.08,40.08,40.08,40.08,40.08,6.830063011395235,0.0007841892331066979,6.828838822400386,6.829487894536041,6.830064013182439,6.830671159160547,6.83125293990634,170.40871303145883,0.018068489257889904,170.3802101397302,170.39640455429245,170.40775534567678,170.4230519946794,170.43600573349784,5429.889148336675,26.67308892293656,5385.3142471661495,5411.644970912936,5429.881626689527,5449.700462944191,5472.73452051485,30.192673228374048,0.15820199393737477,29.92905041687724,30.076187018685545,30.18860461515017,30.318533931282648,30.45437583574319,6.353250982750099,0.03121445032754265,6.301101268560567,6.331974967711424,6.353431282498644,6.376310483221082,6.403260677101486,200356122.99200714,984378.9055293847,198711529.60532603,199685162.58174747,200361808.92487723,201083327.39886004,201933228.71307248
2030,0.015850120482703317,0.006448456046307184,0.0057001972550540245,0.010484619379257775,0.01647456888700809,0.020437536815181342,0.026210528676657262,40.08047999999995,0.002137662274543076,40.08,40.08,40.08,40.08,40.08,6.864261418841821,0.00120618060651557,6.862384929011436,6.863272507666833,6.864265243056984,6.865273718152504,6.866060530790583,171.2619563581304,0.02833439579969599,171.21718884759073,171.23933402362357,171.26316738015166,171.28351236683648,171.3060708784461,5241.022877823828,25.810430000895874,5197.963251028277,5223.078563076561,5240.987466524435,5260.233374812797,5283.035424066453,40.81538477239922,0.21582457373795152,40.45570508639135,40.658833164086175,40.813136546037526,40.97957553516288,41.17417174109257,5.814651286088938,0.028464344020814283,5.767376717911935,5.794883350575033,5.814738223096963,5.836302029783632,5.860990721495701,183370842.95810065,897651.5530403994,181879992.17607078,182747441.34373423,183373584.6035858,184053620.81125665,184832203.3930884
2031,-1.5286716378052905,0.0067290468983765,-1.5387099874650465,-1.5335616819256073,-1.5286300127162542,-1.5237868694963295,-1.518137456253463,40.08047999999995,0.002137662274543076,40.08,40.08,40.08,40.08,40.08,6.864967290141969,0.0014758630821213791,6.862640695961358,6.863813944837594,6.864909990211872,6.86617545883246,6.867216966411535,171.27956760311133,0.03489432173439189,171.2235702585169,171.2528429350697,171.27965083783403,171.30542652742707,171.3346702057414,6837.256370205671,32.91487356065742,6784.963041378738,6812.396659460703,6835.4695875641755,6862.716858345393,6894.420186311204,34.206381819216105,0.17787039901647408,33.908851793517755,34.08158570265772,34.20387460131273,34.338626198496854,34.49481037413926,8.088806976328655,0.03905519352356354,8.026472872990837,8.059333381070982,8.08663253183885,8.11949531210993,8.156386446868659,255088616.80550054,1231644.5829590994,253122848.52263904,254159137.50545445,255020043.52406996,256056404.16269872,257219802.98845
2032,-0.4664148298052326,0.004630873355628073,-0.473734873428515,-0.4699057063683935,-0.4663987995535553,-0.46284866044178585,-0.45933214106103737,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.796886526023592,0.001569839982037212,6.794395396551636,6.795707619045304,6.796851633028163,6.798191643081061,6.799198669313703,169.62531884261531,0.03917743903262352,169.5631494023368,169.59589765523594,169.62444804163124,169.65788976992917,169.68302144531327,4651.93578791415,21.925150499398764,4616.112851156304,4636.569644424699,4650.866184723358,4668.765159547529,4688.569290346231,27.904161801497438,0.15698081542523878,27.63984745514851,27.794870985229885,27.905378699596945,28.02206687418493,28.15536743655543,5.537281605132365,0.026154314116893087,5.494468912236054,5.5188886280812035,5.536085475968665,5.55732432315051,5.580908145998642,175102133.83013785,827062.1827300402,173748293.7302934,174520503.75263503,175064309.35527152,175735932.6763947,176481709.75602746
2033,-0.25935214003065155,0.006913275998873574,-0.26996898406902026,-0.26473077281980456,-0.2593764917677538,-0.25491801323667845,-0.24789969672131287,40.020000000000245,2.4158453015843406e-13,40.02,40.02,40.02,40.02,40.02,6.77621077085176,0.001747181552271912,6.773445415182783,6.774913643706059,6.776188052879503,6.777593166730865,6.778776429724249,169.32060896681068,0.043657709951820466,169.2515096247572,169.28819699415442,169.3200413013369,169.3551515924754,169.38471838391425,5769.723482374051,28.126995483718307,5722.670645126024,5750.177859285996,5769.3114774435135,5790.42794864169,5815.324360918677,38.83443269531715,0.20332488133322946,38.49545013535203,38.685217288972964,38.83393315905827,38.99193957083018,39.172269706728436,6.491364057012106,0.03146253157320243,6.439121563371365,6.469410799349832,6.491271794158212,6.514708809908817,6.542945424723363,204711656.90193358,992202.3956925116,203064137.62247935,204019338.96829632,204708747.3005734,205447857.02928445,206338326.91407597
2034,-3.047022207976111,0.01584414430668997,-3.073522176647665,-3.056855961931117,-3.046963184927338,-3.0340350947288677,-3.0224252124005004,40.0078000000001,0.009184770002565337,40.0,40.0,40.0,40.02,40.02,6.764669547139103,0.002025481516850934,6.76145790278268,6.763222267901968,6.764625493027199,6.766207299133901,6.767778870310974,169.08376605594515,0.02491796724368394,169.03644756956697,169.0692083670878,169.08709285493686,169.10129568740817,169.1175341798059,7694.915766803154,38.292163498458436,7638.636567704852,7666.697124305601,7692.340835188956,7723.319575070062,7763.28255715478,42.602070340343815,0.23068792451179895,42.25833413883902,42.42171710270441,42.58406150503633,42.7660552810396,43.013608976673886,8.91130243150441,0.045444575146431174,8.84430126212611,8.876658468858187,8.908235165351893,8.942978599391154,8.99301301869957,281026833.4799231,1433140.1218178552,278913884.602409,279934301.47391176,280930104.1745373,282025773.1103995,283603658.55770963
2035,-0.037720368502594824,0.006782291143018247,-0.048979510088676376,-0.04268920723015855,-0.03756156040027517,-0.033117217195486784,-0.027262295647167468,39.77460000000012,0.008991106717196039,39.76,39.77,39.78,39.78,39.79,6.63222172218879,0.0020426069118090863,6.628861173954771,6.630649085663318,6.63224330438189,6.633751928283067,6.635566996237798,166.74514980350176,0.022104636724809796,166.71605834843925,166.7298106973749,166.7444188907353,166.75855454009343,166.7854792014929,6360.250475002137,32.67599038506333,6306.360076343362,6336.999452302943,6360.450303575272,6385.305217345473,6412.481054211425,45.59833498290392,0.2579000902143984,45.1604209196927,45.41602494807645,45.60355332600175,45.79169486907371,46.01678347702393,6.898780727092434,0.03577810178675569,6.839378237129677,6.87319599952815,6.900015456983404,6.926279037609988,6.9556656965720585,217559949.00958726,1128298.2179471285,215686632.08612147,216753109.04111972,217598887.4514286,218427135.73006856,219353873.40709645
