year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,0.330724087382861,0.008936270256504952,0.31655035975042534,0.32376575763903864,0.3304106363010716,0.337766006724011,0.3447785744082758,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6566.251453042844,32.57145396525837,6510.787822001543,6543.725317723801,6565.741660222961,6589.868523415527,6618.516165914714,41.92725392082643,0.2386531291339484,41.5350253988615,41.757857359529474,41.93486809172508,42.1037700641302,42.29037635665805,7.708493388844296,0.03825508209663159,7.643613829442676,7.682743525840244,7.707453381106057,7.736439916626358,7.769696805817105,243095047.5105939,1206412.2689993742,241049005.72530422,242282999.83089793,243062249.82656062,243976369.21072882,245025158.46824822
2027,-0.9586888963926838,0.005200588108724487,-0.9670987661498197,-0.9622804697485744,-0.9588010223417827,-0.9556698037059261,-0.949097267721016,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.887023852094929,0.0003982597777648469,6.886392176300114,6.886713742532682,6.887009882625054,6.8873376869669025,6.887650213733364,171.70341191959437,0.009929189173892124,171.68766333333616,171.69568044210126,171.70306364061466,171.7112362744179,171.71902801628931,5518.453944673047,25.955645720406704,5476.225652798248,5499.30051194311,5517.179630062322,5538.928144879432,5562.354693445784,27.949503407535346,0.1385705701654102,27.725938808096256,27.845797817699626,27.936727193128498,28.05525721263541,28.18975601251426,6.374715722102472,0.029922212337084104,6.32621763158441,6.352569819615109,6.372939380500365,6.398325614177628,6.4257068172728244,201033035.01222345,943626.8882622848,199503599.22964597,200334641.8313821,200977016.30345953,201777596.56870568,202641090.1895158
2028,0.15649105711091968,0.008339133530115322,0.14299936566974458,0.14970084222165894,0.15689047867232367,0.16312520443323505,0.16984185628144635,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.844290500312302,0.000533546675956893,6.843456381623525,6.843905114668715,6.844266267204816,6.844699520825621,6.8451598473732975,170.68056110504494,0.013305403390446544,170.65976014023752,170.67095049049163,170.67995678815004,170.69076111784594,170.70224058287525,6186.558651981037,30.61566152828409,6134.493286591369,6164.730564426579,6186.547107484248,6209.424504097383,6236.222888134744,33.00761305137791,0.17117633155426476,32.72149116792286,32.88869070356618,33.0073670494307,33.13480891643255,33.280359959171825,6.986472825636676,0.03442002223314528,6.927688689294223,6.9620046403092655,6.986458106755695,7.012047210128271,7.041742662691219,220929038.28141317,1088443.7110654127,219070142.80833766,220155295.5377157,220928572.8350713,221737761.69756022,222676803.17668682
2029,-0.6951125139732686,0.006998282911860464,-0.7064718873900995,-0.7004090090252026,-0.6946550782587535,-0.6899895275901677,-0.6843811453586496,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.851263046301355,0.0008838465944906908,6.849824030243511,6.850581319748494,6.851280392982862,6.8519212020850055,6.8526623741743995,170.8544400573904,0.022041062206750898,170.81855437016236,170.8374393952243,170.85487264296415,170.87085291982558,170.8893360143242,7800.451588153492,38.72681168653351,7735.850522941888,7774.489332206038,7800.1838339983715,7829.258858007756,7862.05572640894,31.55678209863785,0.174740465994363,31.261159419328557,31.451820955648707,31.558956408597368,31.681555874346785,31.85000447436133,8.920513892195533,0.04418048051429888,8.846946696241487,8.891160648588102,8.920708115484988,8.95311432737782,8.990904768017865,281317326.1042785,1393275.6334989297,278997311.0126715,280391642.21387434,281323451.1299346,282345413.4281869,283537172.7642114
2030,-0.1808410222025479,0.0064082220244153975,-0.19131087954603418,-0.18586100480245715,-0.18077147902407154,-0.17579458823303928,-0.17082965042857995,40.07999999999994,5.684341886080802e-14,40.08,40.08,40.08,40.08,40.08,6.820353847741449,0.0011559845107671314,6.8183881380633675,6.819485592511455,6.820394174260977,6.821257323187849,6.822191469259681,170.168509175186,0.028841928911355192,170.11946452253912,170.1468461205453,170.16951532587268,170.19105097774076,170.2143580154611,5077.83719342775,24.26488068534458,5036.555908621659,5061.431632851312,5077.534961360542,5096.288499553462,5116.977879205871,21.76044125093077,0.10702078379834218,21.58606646105124,21.683952241551893,21.757549789259137,21.844164270620382,21.936142769012918,5.98561402163197,0.02862199439633404,5.9369280740401305,5.9661335315655055,5.9852237853456245,6.007606777670896,6.031864955821475,188762323.786186,902623.2152827894,187226963.74292958,188147987.05144978,188750017.2946596,189455887.34062934,190220893.24678606
2031,0.17928679395234962,0.008530205715609565,0.1665312262333071,0.17196183493285291,0.17971640985130516,0.1852821027075246,0.19274588860884828,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.812291007865812,0.0014375481988415887,6.8098237743222025,6.811200609785926,6.812382715439812,6.81341414316516,6.81458369127028,170.00975811993536,0.035875922107351514,169.94818503424514,169.9825457895165,170.01204680408816,170.03778745108957,170.0669750753751,5178.983534690328,24.39274955079564,5138.830393747559,5162.136748440954,5178.311603410755,5196.874850497376,5218.951467903901,32.52326351839188,0.17220619911365853,32.23716869367113,32.40035227461692,32.523971949608665,32.65086826621419,32.79758429747481,6.048563726482254,0.02843179757138919,6.001895780008388,6.028965295493755,6.047868121854367,6.069280612873154,6.095033495826374,190747505.67834443,896625.1682113295,189275785.31834453,190129449.55869105,190725569.0907993,191400833.4075678,192212976.32438052
2032,0.06468444896306406,0.007521849099413474,0.053050479679044506,0.058508135190187716,0.06456927363762902,0.07096794099804452,0.07641954768678345,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.820273254347671,0.001798013101734186,6.81724283070447,6.818882806994344,6.820360547344789,6.821673943667371,6.823153352824913,170.20896566877138,0.04487180189004621,170.1333374271143,170.1742652107398,170.21114418130244,170.2439217286591,170.2808423465164,5536.402622491864,26.359287989331158,5492.11241238413,5518.552306563854,5535.252687459074,5556.581140176952,5579.7719698404,31.169797973075546,0.1567029828861363,30.911540469242663,31.053832207339497,31.164024298995308,31.292524912800594,31.42796465057182,6.4194847902470515,0.030510877250177332,6.3682180607019845,6.398375280456387,6.418300946757832,6.442722140721254,6.469584480499694,202999515.83110833,964827.164756007,201378338.80274242,202331982.46870404,202962079.85875487,203734336.62274382,204583788.2761535
2033,0.32675912106397115,0.0072080534188740265,0.31555747283307195,0.32104383622044974,0.32670571171168694,0.3325612196120268,0.3383997124345761,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.823153149758725,0.002122287332187201,6.81960924436531,6.821520032650373,6.8232689982468155,6.8247646079570154,6.8265127795889535,170.28083727873044,0.05296449543766346,170.19239441889968,170.24008067507793,170.28372843141543,170.32105335555318,170.3646812974533,4430.105660499302,21.474727659349718,4393.7638480154965,4415.12752902036,4429.805091392546,4446.502226869167,4464.786433075069,35.7023746340506,0.1852743809945697,35.39337279893614,35.56826174053328,35.70044294783964,35.846088054967844,36.0090635905119,5.042097916568035,0.024347574228573136,5.000832771717838,5.025094468580509,5.041523036274347,5.060610303975043,5.0814363977774235,159007599.89688966,767825.100872283,157706262.28889373,158471379.16115493,158989470.4719478,159591406.54615694,160248178.24030882
2034,0.43965135189993915,0.010786385113736384,0.42291582521837096,0.4304716734603512,0.43982963462925523,0.44839589041663475,0.4566025645538593,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.837701191959876,0.0024304462315887705,6.833610863070052,6.835763974361464,6.837794693936834,6.839534707053606,6.841547322549512,170.6439029688014,0.060655009523053895,170.5418233858261,170.59555713405203,170.64623643466018,170.68966076999268,170.73988825928407,6663.995559417737,33.46561616299007,6607.551220102088,6640.685517024887,6663.769271461363,6689.3131438257815,6718.284777846231,49.623496780775284,0.2738653487210905,49.16551065292501,49.431656171837915,49.62646336795391,49.82714073947254,50.06692750586647,7.3445182823958906,0.036594265918776556,7.282445820060784,7.318439863936231,7.344268397823024,7.371942991937646,7.4042099981661735,231616728.55363664,1154036.770014537,229659211.38143685,230794319.54909295,231608848.19374686,232481594.19374558,233499166.50216845
2035,-1.4558340937930532,0.005951143569772721,-1.4647081513304505,-1.4599316906664825,-1.4561632088399685,-1.4516603039170153,-1.4456276560912646,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.857275447149465,0.0028907390825459113,6.85243226743847,6.8549352645220365,6.857433452663107,6.8594866110350425,6.861873291664973,171.13240447091246,0.07214222816436126,171.01153649709184,171.07400210935953,171.13634770808852,171.18758699862846,171.24714977951018,6401.483955676129,30.842912562552378,6350.501348715153,6380.399743019153,6401.0871981608925,6425.176069038322,6452.232155417267,50.85405459796663,0.27803874272497003,50.39494887002146,50.64762494130409,50.85828735386909,51.05532524130963,51.29453185701029,7.060088928969509,0.03369672129297865,7.004422357235984,7.0369410510913415,7.058875200090967,7.085582658565862,7.1155559987195405,222646964.46398255,1062659.802695374,220891463.457794,221916972.9872166,222608688.31006876,223450934.720533,224396173.97561944
