year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.7568506576967833,0.004933655092161879,-0.7650235693874148,-0.7601826124897811,-0.7566819272883163,-0.7534919126538879,-0.7481160949582998,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6209.466929564895,30.089808581931152,6160.770024786496,6186.833789107341,6207.818801248986,6233.055371038104,6259.456596259244,35.825807665004426,0.19129246474773529,35.50817421209536,35.68169003148888,35.82218378232733,35.965429641997844,36.13580484401421,7.184218961719887,0.034748611199049595,7.128246030295822,7.157969834369011,7.182188478365802,7.211282934444057,7.242328794541332,226561529.1767982,1095832.2027732295,224796366.81140903,225733736.6966611,226497495.8537439,227415018.6206278,228394080.86465546
2027,-0.7214026503057813,0.0050122049269697615,-0.7292058013974004,-0.7249927775348478,-0.7216150700206693,-0.7179881265711061,-0.7127046569319969,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.838547183243297,0.00021985062497702502,6.838182986778508,6.838398706641278,6.83855470210813,6.83869685365662,6.83893640767044,170.53733624048132,0.005482559226360536,170.52825403437677,170.53363358207673,170.53752374334488,170.54106866974112,170.54704258529776,6613.412260631794,32.77461492648141,6558.679447370298,6590.502598079756,6612.339685679033,6638.024365649703,6666.905214870554,43.21569252623019,0.23189966395931774,42.82940415506363,43.044143492054594,43.212925611255166,43.38709771934637,43.59875111666363,7.711166947539892,0.03817122531911655,7.647400663319365,7.684501950556402,7.709843828518338,7.739711842116812,7.773397166728271,243179360.85761777,1203767.7616636576,241168427.31843948,242338453.5127467,243137634.97615433,244079552.65299577,245141853.04994276
2028,0.4285687600321151,0.009880221418374814,0.4134326207874069,0.4206368138367672,0.42797584394339416,0.4363765564544316,0.44452769702425776,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.806554001019519,0.00040375150347440853,6.805888460967821,6.806260359779665,6.806531578292908,6.806881652242071,6.807222064400504,169.8665835043553,0.010076154316805494,169.84997406957376,169.8592552977206,169.86602391547063,169.87476047522014,169.88325591216628,6637.474305139924,33.20681354407851,6581.867951433641,6615.210720397383,6637.5661307524515,6661.606624782957,6690.248117783823,39.85578131640147,0.227171225685262,39.48070354798923,39.69434122231303,39.86727266217371,40.01830137566398,40.20203027530063,7.686510203519805,0.038448463968014504,7.622323788196449,7.660910503465754,7.6866746617600485,7.7142431631,7.747350652936103,243065900.2597848,1215832.706982144,241036171.7598634,242256376.30479544,243071100.82404095,243942883.00081342,244989821.28740662
2029,0.7656621105198907,0.010342596397855909,0.7504328162862137,0.7570678580758916,0.7656422709522142,0.7731945664885282,0.7825146213144082,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.825634834591173,0.0007641744988381517,6.824349323910879,6.8250545157501294,6.825657244535228,6.826244407421518,6.826800666716045,170.3427710155022,0.019070988241531098,170.31068939133715,170.32828838907236,170.34333028538128,170.35798371403837,170.3718659025716,4751.356681979055,23.165052674476385,4712.362799451137,4735.060533411601,4751.325082918569,4769.532539920543,4788.790664984872,26.901059229754892,0.13764421514538214,26.671380978476346,26.809201324171298,26.902230179604608,27.006565738902133,27.12408530533302,5.443585976980203,0.026436939723104232,5.3989483061540735,5.4248353656271044,5.443386655667053,5.4641320381107805,5.486582279928371,171668927.37004766,833715.3311078154,170261233.78287488,171077608.09041637,171662641.57311618,172316867.9538616,173024858.77982113
2030,-0.45427420067929947,0.00576511066036063,-0.4643317661027426,-0.45817294684509197,-0.4541231599938305,-0.44962929466184504,-0.44618288835992365,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.859723813222868,0.0011868472503926161,6.857718267486503,6.858778083789218,6.8597722484667525,6.860629163178283,6.861624933936859,171.1935066938574,0.029619347401863172,171.14345563979293,171.16990476139802,171.19471545961449,171.21610090287703,171.24095168297626,5918.928718487754,28.576405496157275,5872.093019617051,5899.516176248688,5917.5362069712455,5939.871045773127,5965.535666516802,42.064038466951885,0.2423858995566547,41.66788649923607,41.89122249240379,42.07730522284179,42.245498984190704,42.43289498957117,7.005228056382266,0.033888917266189984,6.949457333729436,6.982097973825009,7.003364751320251,7.030380782844781,7.060353146748859,220916871.9860711,1068720.8949065662,219158086.47649148,220187441.70254546,220858110.79763544,221710088.36779302,222655296.83587202
2031,-0.9803617576492304,0.004767873785903185,-0.9877929349924067,-0.9836848308340925,-0.9805323804476407,-0.9767913303385174,-0.9722154079818839,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.839498516310409,0.0014082964685811074,6.837117524407283,6.83840831394188,6.839493063972684,6.840610914540739,6.841690440141694,170.6887575819916,0.035145906378366204,170.62933677083313,170.6615501358093,170.68862151167167,170.7165189553466,170.74345994863222,6647.982298951761,32.27139197064418,6595.196059187162,6625.174805997818,6645.656390746136,6672.824206060049,6701.12277645711,38.512664430420955,0.21834193832824877,38.14595849477323,38.36026536865052,38.51524631335654,38.67381807937464,38.866852384601486,7.885773241495763,0.03834450770025558,7.822936950024721,7.858495693290541,7.8830640017076465,7.9154881335752165,7.948895007907565,248685744.94381037,1209232.39483526,246704139.65597957,247825520.1836105,248600306.35785234,249622833.78042802,250676352.96937296
2032,0.37674058146066214,0.009319222388345014,0.3618950232981618,0.36901662880208635,0.3765487735793489,0.3838609145561585,0.3913816742742177,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.79585063227818,0.0015674904944685379,6.7931935199262465,6.79465788310894,6.795888800185205,6.797039064996597,6.798295567205927,169.5994667401591,0.039118804453917924,169.5331549769465,169.56970010254406,169.60041927090606,169.62912565501864,169.6604833343131,5465.059805430192,26.781550165622544,5419.4377431464145,5445.885078050473,5464.43966055893,5485.391454055146,5508.406650530941,34.75647901078536,0.1873773771460362,34.44488455292751,34.6248170703759,34.76065107219739,34.89785852331744,35.05910944151784,6.150134326954814,0.02998268858813926,6.0990423813669645,6.128627096264866,6.1494206427165405,6.172550840380953,6.198717900432418,194482007.74069586,948124.5716095751,192866357.8005387,193801897.48892608,194459439.33223954,195190871.69486263,196018336.9346341
2033,-2.085594995977358,0.008292492674400891,-2.099022619590303,-2.0912293110096383,-2.0850860792698604,-2.0791861330819255,-2.073071199011023,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.812623960166105,0.0019592081339342877,6.809268899662936,6.811118647866188,6.812640550658234,6.814085756239432,6.815704588734943,170.0180673862266,0.04889463773232674,169.9343374011214,169.98050032109276,170.01848142396392,170.05454844620493,170.09494855839637,5710.46790595717,27.019428622290686,5666.9739605666055,5689.6648197135155,5708.485377411902,5730.854963372695,5757.843604151233,27.71850566859936,0.14152361893431023,27.482315714012433,27.617987846728987,27.715995600793406,27.826839455263176,27.955032066614145,6.5356774952328,0.03093336780878735,6.486154320484284,6.51161532501762,6.53291719784367,6.558943475733994,6.590170942720645,206109125.48966163,975514.6872179189,204547362.6507924,205350300.88975567,206022076.75119793,206842841.45074725,207827630.84963828
2034,-1.7508812098239113,0.006618680558586112,-1.7606723473001198,-1.7556567212299063,-1.7510271446626096,-1.745915747480812,-1.7400725255566294,39.94928000000003,0.0037258019271029907,39.95,39.95,39.95,39.95,39.95,6.720930150709335,0.001861768427558456,6.7178734016603965,6.719508344698603,6.7208590136390844,6.72242355345783,6.723774256064165,168.2365774542541,0.04274028345697496,168.1722932460829,168.200816758464,168.23176504728622,168.27092749581553,168.3047373232582,8585.530559417495,42.328000959147225,8515.556171148442,8555.32659734778,8583.271415269872,8618.275463673805,8655.26992748553,64.78819353933433,0.3644244918465142,64.17962123227198,64.54773658567379,64.80017515294776,65.05721653240408,65.3884454754744,9.381468415811236,0.04611880719235195,9.30503115754762,9.348046292190988,9.380179580738051,9.41691090265702,9.457839683985474,295853987.9610229,1454402.7036180128,293443462.5844218,294799987.870535,295813343.2581552,296971702.2261918,298262432.2741659
2035,-1.415455312751712,0.005822759271245278,-1.42492001250095,-1.4195429717198016,-1.4154567599157206,-1.411243663055228,-1.4059369939123416,39.790080000000124,0.0008908422980526264,39.79,39.79,39.79,39.79,39.79,6.644562330400964,0.001979077813901805,6.64122183684592,6.643075459317672,6.644529063614219,6.646211188868569,6.647724715963233,166.9904238582354,0.04909968832193784,166.9068066560925,166.95339178983846,166.98992368972654,167.0321987652317,167.06762137893244,7959.99201528143,39.097618843493315,7894.845953544634,7933.059963624441,7958.622088162916,7989.855135454542,8023.82746120909,37.318942271147925,0.20129862373971633,36.98352049377202,37.17890739418573,37.32218378390138,37.46819205031605,37.641589111271514,9.16283702344969,0.044958179881248055,9.08821887814256,9.131076262411394,9.160643572094417,9.196952084656704,9.236432369707295,288959228.3715094,1417801.1607350386,286606070.54110384,287957621.0114057,288890055.68956953,290035080.94173384,291280131.2110892
