year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2001,4.048149221510549,0.021212285695637607,4.01289924875096,4.034004525212732,4.046182113842867,4.06688194765696,4.080301386340711,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,6.872284581933859,4.3520742565306136e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.335940711393,1.7621459846850485e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,3050.6425066991746,12.121375237092552,3031.2814704855386,3041.2431473891106,3051.188986194681,3060.383562012763,3070.5830926250046,24.400772605369063,0.10125641404815032,24.240179690744753,24.32294783466069,24.406060015896728,24.486995370209822,24.550317186347215,3.3894908205273535,0.013406308757378964,3.36815089921499,3.3790791182300355,3.3901047166657845,3.4003718226038036,3.4115580382426107,106890982.51615068,422781.3529727025,106218006.75764392,106562639.0725024,106910342.34477219,107234125.79763356,107586894.29401897
2002,-0.542822453996851,0.0038924749774934407,-0.5484813392727248,-0.5459868379571173,-0.542992143269944,-0.539618560374175,-0.5359471979972922,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,7.0526970989059015,0.0009453608658355245,7.051126125119904,7.0520667169408835,7.052609431474167,7.053531954067814,7.054130013718486,175.83388429084752,0.023569206328484277,175.79471765444785,175.8181679616276,175.83169861566108,175.85469843101006,175.86960891843646,5372.652623463001,20.974901451218027,5340.407616105027,5355.529861768361,5372.9055558742675,5389.906286116915,5406.3290060111,39.02954301102195,0.1677454620730133,38.762750764733184,38.89688208511285,39.030202751532954,39.16872469522551,39.28169853939826,6.035738454288947,0.02346290726969831,5.999912433691595,6.0166783372505215,6.036138803045344,6.054714509296154,6.07360425151488,190343047.89445603,739926.243657206,189213238.50889814,189741968.04353243,190355673.29283798,190941476.7651635,191537183.67577323
2003,-0.5092361024991902,0.006772498422065846,-0.5200224295027319,-0.5140595645056474,-0.5088387327953658,-0.5038946832288047,-0.498659582411589,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,7.028505311539433,0.001038761715982925,7.026724114406751,7.027801484380458,7.02846922301466,7.029347313049908,7.030106664108786,175.23074823085082,0.02589782388389224,175.1863404240028,175.2132008072914,175.22984849201347,175.25174053976335,175.27067225402106,9139.45373298506,37.2651327717735,9083.387737044024,9109.417955982732,9138.392750939074,9168.46448867254,9198.52812405775,44.62645035479522,0.1894365445954517,44.32645783465608,44.480817373552725,44.628936159143876,44.77354908980897,44.92536503661986,10.713802822668063,0.04380826056645948,10.6474715874686,10.677841275497348,10.712367548837868,10.749077617177836,10.783325990724387,337870485.8156603,1381537.3052238692,335778663.9824098,336736402.4640844,337825223.02015096,338982911.7353202,340062968.4434843
2004,-1.3365522320169976,0.005754343890830406,-1.3456167963731491,-1.340967410422026,-1.3365046516248427,-1.3324757414464004,-1.3264497917632891,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,7.005810355904721,0.0012422848288177759,7.003630074416541,7.004961885508057,7.005927300554269,7.006923202521871,7.007796669883258,174.66493033918516,0.03097194786381796,174.61057278525408,174.64377675163442,174.6678459375285,174.69267520622964,174.71445200407024,7115.435035247324,28.16956057825751,7073.6377096717815,7093.108179620375,7117.109545397674,7136.114732330292,7159.33296785983,37.59340851655618,0.15998947993952664,37.337224435658975,37.48571594922123,37.59306268901848,37.71854107978355,37.82776575543478,8.304706607091612,0.032914077135533265,8.255975357002706,8.279052348286806,8.306647325606221,8.32910277321452,8.355736514350978,262614754.21209374,1040822.1128106863,261073755.12928236,261803504.9784647,262676124.3892502,263386219.53569886,264228442.3514124
2005,-1.0113645738725279,0.004762259901456171,-1.0183746531489914,-1.0154247970614043,-1.0118511672097559,-1.0073150782228673,-1.0038690765726541,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,6.946244678097817,0.0012904583796457861,6.944010127124702,6.9454137583785345,6.946266463317171,6.947200433192153,6.94832062515744,173.1798723036107,0.03217298378573504,173.12416173335086,173.1591562796942,173.18041544046798,173.20370065300804,173.23162865014808,6935.342478143849,27.333619417509958,6893.864479588813,6913.525224858168,6936.170231608848,6956.847736307344,6979.475693724189,32.26487703438235,0.13726768622309232,32.04411567666976,32.15736880453812,32.27346265258711,32.37858599136291,32.465038918130034,7.945002466770077,0.03127351389281997,7.897850655036083,7.920092560260925,7.9460319091375755,7.969233605708176,7.995840009277533,250553597.79206097,986241.5341239716,249066618.2572179,249768038.98038852,250586062.28656256,251317750.98961306,252156810.53257626
2006,-0.4541383163743108,0.004487112380421758,-0.4612457942673977,-0.4576782641241025,-0.454269290097381,-0.4506390362768176,-0.4469143097663281,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,6.901171530255568,0.0014197238104153157,6.898712358670137,6.900177488546942,6.901253818611697,6.902159981256367,6.903391157417244,172.05613388819677,0.03539575692882983,171.99482320294533,172.03135099842788,172.05818545529036,172.08077739357685,172.11147238636858,5548.636831724052,21.610571676769826,5516.025131841299,5530.566346242704,5548.82974639631,5564.7762916630745,5583.757828338997,27.384555410012492,0.11269122784168221,27.208339394097294,27.30168588494355,27.38641269124659,27.471684228590384,27.559568464659545,6.332844233221296,0.024653317348000667,6.295965055830948,6.31233030480493,6.3334078099981195,6.351287386679863,6.37305098265844,199712575.73886663,777467.0158865487,198549554.00068477,199065648.49232826,199730348.69610068,200294199.02633616,200980535.78911656
2007,-1.1349059493374678,0.004349001672313381,-1.1418229484770779,-1.1380685375297293,-1.1350372364057268,-1.1314878021085686,-1.1276932260762578,40.110000000000426,4.263256414560601e-13,40.11,40.11,40.11,40.11,40.11,6.880932099289159,0.0016067131715955501,6.87815617110562,6.879763931303858,6.881031137592635,6.882074859137092,6.883490103847817,171.5515357588918,0.04005767069547657,171.48232787598155,171.52241165055742,171.55400492626865,171.58002640581134,171.61531049234148,6346.19202178825,25.018282233998743,6308.344911267776,6325.895319533235,6346.888380090554,6364.80330708785,6386.801195293834,57.98882301633599,0.2673234544939625,57.561894580474714,57.77556561524426,57.987687966989164,58.20707932927563,58.414209840144295,7.351249231475282,0.029016235024951372,7.3075760485532815,7.327638199123721,7.352160124762872,7.37319070738058,7.398198008376933,231828995.7638046,915055.9877468655,230451718.2671763,231084398.2475657,231857721.69452193,232520942.147954,233309572.39217493
2008,1.36122240594274,0.010702210479107695,1.343447494543648,1.35317114857108,1.3606676642956579,1.3699592245325602,1.3778507571799194,40.09999999999924,7.602807272633072e-13,40.1,40.1,40.1,40.1,40.1,6.830346308378754,0.0017179986230496335,6.827407875448831,6.829068739143488,6.83033664276549,6.831598176140115,6.833096772374911,170.3328256453553,0.042842858430163756,170.25954801618033,170.30096606342863,170.33258460761817,170.36404429277096,170.4014157699479,4672.418328520502,18.339374193736457,4644.609874336311,4658.15105108845,4673.440282351691,4687.921637701639,4701.162627809103,41.233429100793074,0.17881526439446993,40.9444789298506,41.08882571828564,41.24374170057705,41.37894335065268,41.49054294689654,5.233448406375749,0.020467012564884902,5.202589923729732,5.217324412682194,5.234501322240876,5.250584073396831,5.2656032114521345,165494198.8857762,647216.0581318169,164518379.60415107,164984319.5076014,165527494.61242986,166036069.80258393,166511010.99382398
2009,-2.319151323833834,0.009799863076773921,-2.3337259393028384,-2.325893049790205,-2.3203340507155543,-2.3124819121849503,-2.3019896334685916,40.09999999999924,7.602807272633072e-13,40.1,40.1,40.1,40.1,40.1,6.89099632891021,0.002135238385447257,6.887389567983441,6.889421438788986,6.891086722875206,6.892467779776426,6.89439559926176,171.84529498529184,0.053247840036091156,171.75535082252972,171.80602091743106,171.84754919888297,171.88198952060912,171.93006481949524,6127.067798559284,25.130521695114947,6088.159484918897,6108.4976731696515,6127.127779619652,6146.946239318924,6163.056517406585,45.21488245523966,0.20220039514592097,44.89630402722087,45.07626618744434,45.20701351035384,45.39248645447997,45.51070967340095,7.144214419367212,0.029400353535688043,7.098643431515546,7.122678555220559,7.1438529704356615,7.167762333227947,7.18655907068147,225299945.92916444,927169.5491014569,223862819.25627425,224620790.91743553,225288547.27565902,226042552.94067654,226635326.85301086
2010,-0.36705969644048975,0.005491761814744566,-0.3763155323099148,-0.3708563597267178,-0.3672019084729118,-0.36349735794278065,-0.35733508407764636,40.05988000000005,0.0010888526071058482,40.06,40.06,40.06,40.06,40.06,6.7878435861671225,0.0020400823082485572,6.784436252512169,6.786286758096594,6.787810843520338,6.789401479138691,6.791205713055035,169.44243414218062,0.05008600596951465,169.35956698069177,169.40306435588104,169.44110942387263,169.48081575483502,169.52585404530794,4940.614154173796,18.930376912606697,4912.533566551077,4925.989771187936,4941.711118148548,4956.67976031026,4970.9141650164065,32.69549145756273,0.14349329073275183,32.45008255949958,32.58708141335035,32.702146947161,32.8163677807465,32.904799288155296,5.718849885459637,0.02194803165758735,5.686281709666818,5.701834989365056,5.720118254291506,5.737195731385651,5.753799008843605,180349649.9878551,692153.1263536742,179322579.99605277,179813068.2246164,180389649.26733696,180928204.5849779,181451805.54289192
