year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2026,-1.216582129630878,40.11,6.8722845819339025,171.33594071139123,-1.216582129630878,8185.236117434684,42.21428526738835,9.382693642483444,295892626.70935786,11.159501975652802,3042.8111715979157,392.4851502043729,1609.842579241746,large
2027,-0.41969829329414227,40.08,6.818138206304903,170.11322870022212,-1.6362804229250203,6427.029402466772,38.85927836341433,7.340878671406876,231501949.78148726,10.941043882921825,2624.1482845876335,381.2211485959734,1609.842579241746,large
2028,-3.0919086426010494,40.07,6.799439893994847,169.68904152719855,-4.728189065526069,9285.350680198844,39.76678157899623,10.725429743822176,339163829.53104234,10.705503937440477,2705.9868297087287,374.71531107859573,1609.842579241746,large
2029,-3.227374311113302,39.83,6.665183783409749,167.34079295530378,-7.955563376639372,9020.557491856902,36.740185062079995,10.311058206950399,325169531.6143878,11.479613789405349,2530.9146253311133,368.85760859801553,1609.842579241746,large
2030,-0.5644923136325461,39.58,6.5249879033228035,164.85568224666002,-8.520055690271917,5296.5008538687125,28.43721125077347,6.189303428774272,195185872.92982545,8.897530460494854,2068.1284043609,443.9139463215758,1609.842579241746,large
2031,-0.9334531535449124,39.53,6.500272030850991,164.43895853404987,-9.453508843816829,6241.491712281748,33.137479349170626,6.9462336612774065,219056424.7420443,9.512161118188468,2319.9487386253727,483.3152375101215,1609.842579241746,large
2032,-1.4332966419859507,39.44,6.459329169755142,163.77609456782815,-10.88680548580278,6179.931326644112,33.842342459863225,6.785669390703208,214579151.7405731,10.198151854814798,2074.5981230829075,500.0060135422729,1609.842579241746,large
2033,-3.671990714180642,39.32,6.397087781521578,162.69297511499434,-14.558796199983423,8957.36500937797,35.21752153508694,10.426556936750346,328811899.5573589,10.895122225525425,2310.2560148979687,507.07066884143205,1609.842579241746,large
2034,-3.1736637624508366,38.99,6.239975867927955,160.04041723334072,-17.73245996243426,8335.356879696803,41.1436022482801,9.529241937512632,300514173.7413984,11.237674078871214,2256.81253175644,531.2695597715991,1609.842579241746,large
2035,-1.5508333059665278,38.69,6.104985533073551,157.7923373758995,-19.283293268400787,7820.608110964438,27.602156688167018,8.873361384409025,279830324.61872303,12.718663617976171,2741.8157635739594,565.4921350666085,1609.842579241746,large
2036,-2.4459851658118534,38.52,6.038883055984414,156.77266500478748,-21.729278434212638,6379.801857548433,27.912360297927016,7.063949553096533,223379038.34783983,10.397510587618806,1720.1345566830196,603.8121707049909,1609.842579241746,large
2037,-0.46440127855028907,38.24,5.9359535675664885,155.22891128573454,-22.193679712762926,5460.283533508435,29.431100776303268,5.786752423527615,182491024.42836684,8.848823410668938,2184.770864106924,631.248491107154,1609.842579241746,large
2038,-3.0798201974187394,38.18,5.916237364232156,154.95645270382806,-25.273499910181666,7890.992192099342,38.69789146500796,8.567212301232459,270175607.13166684,11.434047064711056,2103.912833530815,627.5885162039726,1609.842579241746,large
2039,-2.3850531119606675,37.84,5.787910888901959,152.95747592235622,-27.658553022142335,7900.015015573848,38.62351845648459,8.499068863606174,268026635.6826843,11.728594104240608,2412.5177997728324,642.0177107743751,1609.842579241746,large
2040,-1.8468083221131093,37.48,5.689547668352683,151.80223234665644,-29.505361344255444,7094.039792884513,39.234404804533234,7.822324606812255,247360677.64645985,9.514785991512317,2294.6997098806514,645.1980842973253,1609.842579241746,large
2041,-2.788649941418377,37.3,5.613346717035585,150.49186908942585,-32.29401128567382,7145.51884204583,32.25126019116677,7.749577522119539,244390676.73756176,11.464625014566694,1905.4844479802696,646.7770294267712,1609.842579241746,large
2042,0.15553771505059968,36.96,5.499500833173059,148.79601821355678,-32.13847357062322,5723.596764549337,28.122056820719617,6.170424824701519,194590517.2717871,8.886850635002327,2571.0401339768187,638.4167253824065,1609.842579241746,large
2043,-1.0109509766943185,36.96,5.505888248671137,148.96883789694635,-33.14942454731754,6916.593010478625,36.11195109156065,7.294129345484697,230027663.0392054,10.738380958860173,2582.453931973421,639.5867549989453,1609.842579241746,large
2044,-0.8977074612648831,36.9,5.464388112431325,148.086398710876,-34.04713200858242,6657.68655291416,42.5137182213262,7.086099864352384,224079484.35049683,9.68624203823871,2519.597894763313,634.801852794555,1609.842579241746,large
2045,-1.4709824302799452,36.84,5.4277509921143325,147.33308881960727,-35.51811443886237,7711.965588219976,45.45202272143079,8.005358589422151,252456988.47601697,9.483845781380554,2730.3204420233214,633.1150376885734,1609.842579241746,large
2046,-3.1686788542998854,36.63,5.368098013787365,146.5492223256174,-38.68679329316225,7929.347423517155,36.03504803567298,8.344385426714602,263148538.81687167,12.013068020999269,2082.3860403109265,631.4515890426009,1609.842579241746,large
2047,-1.495745843118361,36.3,5.241744088426601,144.4006635930193,-40.18253913628062,8542.846048310616,48.59180852543376,8.81573127242165,278012901.4070891,11.484576544691526,3083.334474621741,617.4333938013935,1609.842579241746,large
2048,-2.372718824456397,36.03,5.182714017869557,143.84440793420922,-42.555257960737016,6951.427670352366,32.76582563099537,7.200526200280295,227697919.7157436,10.109047492658718,2002.3309778641699,614.5336907515048,1609.842579241746,large
2049,-2.466535354803707,35.74,5.089383823599233,142.40021890316822,-45.02179331554072,6846.313596566904,35.83278563332602,6.953380547054037,219281808.93189612,10.926286975334358,1915.4640082127921,609.3181839810027,1609.842579241746,large
2050,-2.9339255744050337,35.42,4.993502306490831,140.97973761972983,-47.95571888994575,8450.132148783037,30.171546031223183,8.655042280031068,272945413.3430598,12.220119505480417,2411.5221209838924,602.2010916757408,1609.842579241746,large
2051,-1.8327671635752822,35.02,4.8805630838291325,139.36502238232816,-49.788486053521034,7685.589828913242,34.74243899443242,7.840543256067771,247259372.1233532,11.680880534267782,2557.968097678402,597.4758659075533,1609.842579241746,large
2052,-1.2248446605533325,34.77,4.81007000209535,138.33966068724044,-51.013330714074364,6398.328612830552,36.35512244578652,6.059181303906888,191605854.86466518,10.453012442556815,2261.0947933812727,589.4128605309647,1609.842579241746,large
2053,-0.5674376090514902,34.6,4.763195418109182,137.66460745980294,-51.58076832312585,5276.216172352432,24.31836372311583,5.218866996150359,164582189.59059772,9.92491467945715,2057.7079622335013,589.3333270358982,1609.842579241746,large
2054,-1.4829588895663395,34.5,4.741477419554369,137.4341281030252,-53.06372721269219,7117.12082654432,32.45690591987824,7.0780920217961825,223214709.9993644,10.004116750937278,2461.4985421655174,586.7721632783125,1609.842579241746,large
2055,-2.432376780142495,34.26,4.6853457119056126,136.75848546134304,-55.49610399283469,7327.588500634267,29.69762155502841,7.064909898920817,222798998.57236686,11.618541083265743,2138.3998664061064,587.9564342748022,1609.842579241746,large
2056,-2.348572205827892,33.85,4.595071901224419,135.74806207457667,-57.84467619866258,10425.440977518658,41.212136750465326,10.252366506134985,324204434.60360295,10.69758926989632,3526.6462356449897,589.1947067672493,1609.842579241746,large
2057,-0.6320596393439608,33.51,4.508788775237385,134.55054536667816,-58.47673583800655,7387.043609128059,42.53181647769527,7.067684957513696,222886512.8201519,10.794829190432864,2948.8023076310865,598.397764844562,1609.842579241746,large
2058,-2.8358589435002957,33.45,4.485328585561173,134.0905406744745,-61.312594781506846,8999.195159744455,40.70330576980775,8.781768550836501,276941853.0191799,12.418589911390743,2690.528498659288,597.8947194702429,1609.842579241746,large
2059,-2.749120377403676,33.1,4.3825433970867484,132.40312377905585,-64.06171515891052,7855.157369845685,35.24821100738452,7.3859341019072104,232922817.8377458,10.596146820039692,2228.8703870160134,606.7860312789745,1609.842579241746,large
2060,-2.531242128575807,32.76,4.283941131841762,130.7674338169036,-66.59295728748633,9824.02552010552,33.621807381164636,9.321732627758482,294775557.84802985,11.882223271255016,3182.7518079111815,613.7393910994379,1609.842579241746,large
2061,-1.9906190879121641,32.43,4.193224417419856,129.30078376256108,-68.5835763753985,9094.190226320748,34.772722306039796,8.421079042655382,265567148.68918014,11.26513790890688,3100.585560170759,622.6669158075068,1609.842579241746,large
2062,-2.426020889538569,32.14,4.122720769316877,128.27382605217414,-71.00959726493706,8879.848188864138,33.84583750421299,8.25739266271212,260405135.0112894,11.463679964783237,2816.6088066363427,633.4365229811029,1609.842579241746,large
2063,-3.000570777626349,31.78,4.03747069924322,127.04438952936499,-74.01016804256341,10058.675705107771,33.13701772228675,9.371430817648305,295537442.2653569,12.239608296241286,3080.125369746284,637.0003060241637,1609.842579241746,large
2064,-4.035131944268196,31.36,3.933780160500365,125.43941838330247,-78.04529998683161,10122.133247101598,31.13166770332621,9.287349892033472,293688293.22583926,13.650721899290849,2656.0797023213436,634.8732983673941,1609.842579241746,large
2065,-2.2351020565560753,30.83,3.797442426229726,123.17361097079876,-80.28040204338768,7391.491934413398,29.41593755580201,6.56047797396735,206891233.38703436,10.297958900754704,2249.4933821229224,643.0694480328116,1609.842579241746,large
2066,-3.6565605404227903,30.52,3.722519681799093,121.96984540626123,-83.93696258381047,11181.375824976001,34.964194355442935,9.979082716791574,314700352.55673903,12.642404834221077,3281.3967737290795,644.0373104484879,1609.842579241746,large
2067,-3.0314519355498706,29.79,3.604592562581044,121.00008602151877,-86.96841451936034,8191.000703113024,32.29972250673941,6.886054562499224,217158616.6829755,12.451125298512856,2247.0963814938204,643.8751668040464,1609.842579241746,large
2068,-1.3170300450159087,29.22,3.5080461087165205,120.05633500056537,-88.28544456437625,7100.6502266601565,26.807242272828976,5.965598995698768,188646557.68158472,12.407707770979028,2516.3404222131107,647.3139411238274,1609.842579241746,large
2069,-2.649770463459294,28.97,3.4658521291199618,119.63590366309843,-90.93521502783554,8364.692563927312,38.311440941743605,6.902935439419443,217690972.01753154,11.695064905552599,2485.4780768258147,648.5562677173668,1609.842579241746,large
2070,-1.9514491668281762,28.48,3.3829082221859856,118.78188982394613,-92.88666419466371,8060.270622134858,31.688825901019037,6.4935130272182136,204779426.82635358,11.396835522166898,2654.9002031570694,650.7761923131561,1609.842579241746,large
2071,-2.10918424387319,28.09,3.3224145257724906,118.27748400756462,-94.9958484385369,7850.071885664303,22.56561738637201,6.4324578364674005,202853990.33083594,11.339605775223966,2492.8655930606706,659.4682021395838,1609.842579241746,large
2072,-1.3946445682968567,27.69,3.258065562135244,117.66217270260901,-96.39049300683375,7335.034542928031,26.49988224777899,5.878808787014082,185902042.9864741,10.935079384854708,2576.822440794039,665.7621746889375,1609.842579241746,large
2073,-2.962357061188113,27.27,3.215896189874342,117.92798642736861,-99.35285006802187,8485.652550506693,32.22627668228853,6.569851479178464,207186836.24737203,12.463880651030689,2392.9617142723823,662.6080664206168,1609.842579241746,large
2074,-1.8768383393961061,26.51,3.129957550896301,118.06705208963793,-101.22968840741797,7800.869862573474,25.651683620221156,6.053625979948711,190907148.90366256,11.456322906465473,2561.766656922613,674.7855696015868,1609.842579241746,large
2075,-0.8248050598589407,26.12,3.0760920877182145,117.76769095398984,-102.05449346727691,7653.487588052558,23.825481000406526,5.694160812729637,179571055.39024183,10.698304744525934,2950.975090906177,687.2428046230407,1609.842579241746,large
2076,-2.8235466486463716,25.87,3.05230079764436,117.9861151002845,-104.87804011592328,7757.4686370698255,24.343814787569308,5.780517273460836,182793829.42828792,11.272999532294419,2130.9581298171333,686.0803255520445,1609.842579241746,large
2077,-1.8893316512928549,25.43,2.9736340110063053,116.93409402305565,-106.76737176721613,9541.38330830164,25.465729564929745,7.000897246675417,220780295.57115594,11.872165045668087,3302.931407679187,693.0973391085042,1609.842579241746,large
2078,-2.668712455086242,25.06,2.921281129256825,116.57147363355247,-109.43608422230237,8283.495877028643,26.720572654402734,6.013043075965188,189627326.44363815,11.509559826366116,2421.8871887052774,690.8124490441421,1609.842579241746,large
