year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2026,-0.6550247776197112,40.11,6.8722845819339025,171.33594071139123,-0.6550247776197112,7118.085013066215,37.077466569555064,8.327844180856397,262626894.08748734,10.62331977111603,2822.0474027760793,392.4851502043729,1609.842579241746,large
2027,-1.8489440719059123,40.1,6.843084687984835,170.6504909721904,-2.5039688495256236,6237.812309865688,30.11386221663941,7.198191031566599,227002152.37148428,11.511933596375036,1916.9536818178337,382.5185774906851,1609.842579241746,large
2028,-0.8036850263076021,40.0,6.761437435407851,169.0359358851963,-3.3076538758332257,6888.998283656964,34.78545193327451,7.776709529825717,245918219.43596077,9.990529364725091,2658.6419954196726,361.83522558285495,1609.842579241746,large
2029,-1.7095827079548527,39.96,6.725899903416966,168.315813398823,-5.017236583788078,8362.091819500842,32.7389866658403,9.523638391208742,300337460.3051589,10.974081184690249,2906.8025364465466,348.8284720000125,1609.842579241746,large
2030,-1.2167786080819376,39.8,6.651215618615387,167.1159703169695,-6.234015191870015,5750.541701552293,24.0278435866085,6.6644230011185295,210169243.76327395,9.703451633590555,1980.7654301111893,364.1401651953014,1609.842579241746,large
2031,-0.7351762896490854,39.72,6.597678061631554,166.10468433110663,-6.9691914815191005,5874.259199468369,33.436040578928605,6.788365735694984,214077901.840877,11.46094270388183,2245.7422152595977,412.34330814608165,1609.842579241746,large
2032,-0.9612768373904953,39.67,6.565310110980917,165.49811220017438,-7.930468318909596,6268.896557162933,33.13971099011556,7.191831819703053,227422982.53537783,10.727628721998359,2319.5476266047135,401.41599991208966,1609.842579241746,large
2033,-0.6489499817969347,39.57,6.523220535473935,164.85267969355408,-8.57941830070653,5127.2308268369825,37.16601694704761,5.753420245582922,181439860.86470303,8.504685008144733,1957.1484527476791,440.92340654646443,1609.842579241746,large
2034,-0.645318738501255,39.53,6.494831247695029,164.30132172261648,-9.224737039207785,7260.910322943566,49.12967622806559,7.929176360278454,250054505.69774133,10.321822021455704,2891.5911329897704,480.2357575076617,1609.842579241746,large
2035,-2.3619975037639818,39.45,6.466511675058189,163.91664575559415,-11.586734542971767,7022.498503080187,50.05330975191474,7.659727127393816,241557154.68949136,10.458455852977442,2036.929363269166,472.04168168368255,1609.842579241746,large
2036,-0.9577380247658078,39.28,6.364469969194425,162.02825787154848,-12.544472567737575,7264.455970661518,32.22045451658863,8.131601814591376,257140765.2217343,10.350985416758888,2757.0417973260037,522.2619270770718,1609.842579241746,large
2037,-1.2769616875888739,39.18,6.322928850571271,161.3815428936006,-13.821434255326448,8153.954932453021,41.43184114363616,9.1302187074726,287930577.158856,10.908925491967763,3006.4611629047895,533.1776869880487,1609.842579241746,large
2038,-2.580976240145313,39.03,6.267624820551521,160.58480196135076,-16.402410495471763,7451.7577606163595,32.0165772530445,8.52134582823276,268729162.03914833,11.490548735216748,2129.241177185707,536.0907382703354,1609.842579241746,large
2039,-1.7861103470205961,38.85,6.156930478923664,158.4795490070441,-18.18852084249236,7047.688014714172,31.28068028286978,7.6573088595616525,241480892.19513628,11.015009900935153,2300.960698023354,552.44331113167,1609.842579241746,large
