year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_min,glacier_wide_balance_max,area_km2_mean,area_km2_std,area_km2_min,area_km2_max,volume_km3_mean,volume_km3_std,volume_km3_min,volume_km3_max,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_min,mean_thickness_m_max,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_min,total_annual_runoff_mm_max,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_min,mean_annual_discharge_m3s_max,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_min,peak_daily_discharge_m3s_max
2026,-0.7365095904985546,0.5943364524035257,-1.4050556921530768,0.30338156855384885,40.11,0.0,40.11,40.11,6.8722845819339025,0.0,6.8722845819339025,6.8722845819339025,171.33594071139123,0.0,171.33594071139123,171.33594071139123,6885.528963524886,1024.3394729581426,5028.131562944363,8185.236117434684,7.928042459736803,1.2060016242088731,5.707807172097067,9.382693642483444,36.0930931896933,5.9919691698717745,25.230412028083368,42.21428526738835
2027,-0.9404863923140425,0.727319128829832,-1.8489440719059123,-0.06306525152248318,40.092,0.014696938456699433,40.07,40.11,6.839496367422226,0.026448578085353582,6.809786074057005,6.8858052871724515,170.59484183888742,0.6028175181039424,169.9472441741204,171.67303134311774,6331.416169851313,349.1152045203908,5777.889136600969,6865.075674602425,7.2828982661849695,0.38946560214152565,6.738860474267949,7.9484233051460995,33.159257319746686,4.365334339408785,26.569952519495992,38.85927836341433
2028,-1.702525918529129,0.9372608422496179,-3.0919086426010494,-0.5223372817481902,40.053999999999995,0.034985711369072074,40.0,40.1,6.79777099349902,0.02551773110945451,6.761437435407851,6.8378576742741055,169.71474610062154,0.4935624246504953,169.0359358851963,170.5201415030949,7004.137514168717,1222.8165650402402,5610.209716937694,9285.350680198844,8.048520932710888,1.422814697117233,6.45399015980709,10.725429743822176,35.37318303953051,3.152881234237592,30.004244762478073,39.76678157899623
2029,-1.7948703811989595,1.1506778748063156,-3.227374311113302,0.12554386005787072,39.942,0.06794115100585299,39.83,40.03,6.723143399191964,0.040420712967322255,6.665183783409749,6.78427996430487,168.32144640459353,0.7321759786227154,167.34079295530378,169.4798891907287,7467.183704661607,1148.8668159778629,5701.651774212498,9020.557491856902,8.510966506655445,1.2940211187818125,6.609517858761344,10.311058206950399,37.3139287818959,5.545193846277039,29.953554232011214,43.75975372224306
2030,-1.435863999077224,1.0460754924828422,-3.455583597157508,-0.5644923136325461,39.802,0.15051910177781416,39.58,39.98,6.644893769865535,0.08331551688925258,6.5249879033228035,6.748633429128299,166.94323261425944,1.4656158627558962,164.85568224666002,168.80023584613053,6804.863747048199,1714.8134148070167,5296.5008538687125,9907.622650016348,7.796817195056829,2.005542507782778,6.189303428774272,11.475996140745965,33.95905942123067,6.853599972796722,24.0278435866085,41.67115528490872
2031,-1.6827960994416031,0.8178557283188946,-2.979750557745539,-0.7351762896490854,39.696000000000005,0.1456845908117955,39.53,39.95,6.5823662379091505,0.07564946070359758,6.500272030850991,6.717789301190451,165.81466836231766,1.2975747601415,164.43895853404987,168.15492618749565,7214.3364633751435,1696.9225880368426,5874.259199468369,10503.6193359801,8.28983649779249,2.0366588777110155,6.788365735694984,12.200105605065644,35.951761095707184,3.921235551893345,33.137479349170626,43.68093160470996
2032,-1.1513657849168095,0.3362285460803623,-1.5794082413814283,-0.6352311563653869,39.54600000000001,0.14108153670838727,39.42,39.76,6.50919026432085,0.07303712079590755,6.441114240337133,6.625220890776169,164.59347363474348,1.259136023832795,163.39711416380348,166.63030409396805,6237.615167881269,682.9643419805689,5000.731656607242,6875.130896789908,7.064803302435483,0.6998298003641877,5.876531158614889,7.884089526554505,38.966066203192966,15.291876959522058,25.92532232728542,69.00542056062726
2033,-2.1007324125442466,1.246416668456058,-3.671990714180642,-0.6489499817969347,39.45,0.15773395322504433,39.3,39.7,6.458965631968193,0.07725964538059894,6.3725329220632885,6.574764772416357,163.72021374426907,1.308310631326157,162.15096493799714,165.6112033354246,6978.677492904206,1370.4488349893627,5127.2308268369825,8957.36500937797,7.867568318889728,1.6143203438098892,5.753420245582922,10.426556936750346,40.47715948475169,4.26242371792266,35.21752153508694,46.990325864613794
2034,-2.2672104796417587,1.0817682533251924,-3.6664374608977632,-0.645318738501255,39.264,0.2565618833731935,38.99,39.59,6.368548563345459,0.12711015304205983,6.226468725725765,6.534804455036646,162.18396421291672,2.1767858390209898,159.69399142666748,165.06199684356267,7630.749885674661,620.5157985040028,6613.891838811328,8335.356879696803,8.609113907421731,0.8013549638117019,7.426370722693173,9.529241937512632,39.101455233654974,7.316972278582709,29.12554104103355,49.12967622806559
2035,-1.606864803860106,0.6159304531548271,-2.3619975037639818,-0.5330233991902936,39.065999999999995,0.2783235527223681,38.69,39.45,6.271174385273781,0.1344277986903307,6.104985533073551,6.466511675058189,160.51148785783445,2.3049421113826942,157.7923373758995,163.91664575559415,6675.830984525363,930.4926957799389,5004.147793525835,7820.608110964438,7.431455302732765,1.053088711372703,5.6887593011024675,8.873361384409025,37.5102807812343,8.52967572911801,27.602156688167018,50.05330975191474
2036,-1.3031017805581784,0.6281325475158996,-2.4459851658118534,-0.7665552976749462,38.924,0.312512399753994,38.52,39.28,6.202216953018213,0.13668153456462553,6.038883055984414,6.364469969194425,159.3238731131765,2.2356306794371195,156.77266500478748,162.02825787154848,6426.083736382151,469.88677828389086,5806.359137192784,7264.455970661518,7.196841742778214,0.5298775436815252,6.484732210553278,8.131601814591376,32.50131949326603,5.040714813507345,26.204181036579925,39.48160387280884
2037,-1.3504451927641536,0.58512640257121,-2.245042523658664,-0.46440127855028907,38.78,0.3787875393937864,38.24,39.19,6.146686300858614,0.15808797447409292,5.9359535675664885,6.322928850571271,158.47683361179833,2.5370172980377355,155.22891128573454,161.3815428936006,6930.972298509671,1041.1353043079996,5460.283533508435,8153.954932453021,7.660290796735447,1.223107808418767,5.786752423527615,9.1302187074726,35.15035640359629,5.198421113001925,29.105732001230713,41.43184114363616
2038,-2.1189908054022366,0.6703720756159858,-3.0798201974187394,-1.2709315723471175,38.617999999999995,0.3873189899811258,38.18,39.08,6.089051597012556,0.1586894409950537,5.913434567100634,6.271169402651314,157.6486185959652,2.529061401557356,154.8019520183412,160.58480196135076,7595.036856419365,163.90471240597446,7451.7577606163595,7890.992192099342,8.477538003325524,0.1115635848847023,8.26418377137323,8.567212301232459,32.92499312501709,3.4184815027545414,28.995989075875105,38.69789146500796
2039,-1.8458211729560987,0.30624651988784984,-2.3850531119606675,-1.4438815843140962,38.42,0.42004761634843124,37.84,38.9,5.999316157012653,0.15573074269655987,5.787910888901959,6.178511098116694,156.12518139480164,2.350680879333746,152.95747592235622,158.830619488861,7479.2136508879685,649.989832250145,6666.330214644598,8503.06384201499,8.278364587244154,0.8123788435883319,7.304437920370483,9.662828178943004,33.84982853538378,3.9790923678770453,27.959561556202903,38.62351845648459
2040,-1.1896429251258425,0.35763850776479045,-1.8468083221131093,-0.7984305042434205,38.178000000000004,0.45437429504759846,37.48,38.67,5.921662366097124,0.15866134590898961,5.689547668352683,6.098484966167376,155.07915972062034,2.3215909032126856,151.80223234665644,157.70584344885899,6977.667581898856,469.7496916928271,6121.850089590473,7447.631985002946,7.694882278178002,0.512975467190986,6.907936779253833,8.445024167813324,35.64600363335032,2.5195238520819565,32.29596525879375,39.234404804533234
2041,-1.6136024331557688,0.7294385858233402,-2.788649941418377,-0.9336254112849107,38.044000000000004,0.4884506116282404,37.3,38.59,5.871703106713754,0.17169195039904658,5.613346717035585,6.056117629963457,154.3071947091597,2.5439453102278855,150.49186908942585,156.98027641189677,7241.196161285292,655.5899376561482,6665.815817368255,8507.320492463063,7.92242033724852,0.7243088004285362,7.230561029798431,9.318104905240443,36.13252259247409,7.147320357343744,24.78719225330189,44.24072754264196
2042,-1.1805529277340585,1.176200561584197,-2.9336126012664585,0.15553771505059968,37.848,0.5355147056804318,36.96,38.46,5.804406751621464,0.1839326262335475,5.499500833173059,6.0093846056351365,153.32269205924592,2.716022545911587,148.79601821355678,156.25024975650382,6759.048850291327,881.5932069689665,5723.596764549337,7994.730568270119,7.378097065781814,1.0334329857917093,6.170424824701519,8.783361606206519,30.53449189582679,5.3466240652450425,25.685664522154667,40.95320981721986
2043,-1.2729872435144622,0.7209821464273577,-2.1258912364758,-0.35796579060110884,37.696,0.4557894250638111,36.96,38.2,5.754991433458986,0.15384112245435022,5.505888248671137,5.923148362045969,152.64134119264085,2.246659601205877,148.96883789694635,155.05623984413532,6929.804930271193,440.5594170501756,6517.9734980624935,7756.907467715279,7.485659706636126,0.4592451274640046,7.063250840413352,8.328371776555459,35.051130766460524,5.217097399882789,30.5832818474787,44.782315327732306
2044,-1.7466771157385594,0.8842774665246702,-3.292361567202162,-0.8977074612648831,37.564,0.43527462595469496,36.9,38.12,5.702131251955115,0.1510779825676169,5.464388112431325,5.891069251662853,151.7715792359387,2.2806445483829902,148.086398710876,154.54011678024276,7172.621476551593,541.4420416663892,6631.829472454597,7847.997993754831,7.7619546237236765,0.6280937832662147,7.086099864352384,8.621440549985504,42.20494873683757,6.335580409710849,34.615024926089966,52.60601279962377
2045,-1.8865935679582955,0.5003159869417432,-2.858998809255633,-1.4709824302799452,37.382000000000005,0.4273359334294259,36.84,37.97,5.6300880954776344,0.15315664388439773,5.4277509921143325,5.832617926852186,150.58255585231328,2.3765452278030956,147.33308881960727,153.61121745726064,7752.524976263463,514.3633115922406,6948.0190867691235,8565.67769251237,8.306002736903437,0.5294050864290821,7.540263108730189,9.127260262142745,38.282737170267254,6.757109139072868,29.193135722511304,46.04323897512082
2046,-2.4531504434645406,0.5758475086858631,-3.1686788542998854,-1.5618538047429604,37.120000000000005,0.36964848166873326,36.63,37.57,5.55265297222093,0.1387065961070613,5.368098013787365,5.71404542528512,149.56425549463876,2.2497395241010336,146.5492223256174,152.19452484441692,8188.098390681288,804.9498526581589,7210.514852227556,9594.22458570763,8.75853967702877,0.8502188920183054,7.996136979682452,10.290293299941546,33.932819730799054,1.6270275718779257,31.07433674866038,36.03504803567298
2047,-2.4289437005465926,0.5121299018381797,-2.829498027456708,-1.495745843118361,36.884,0.4005296493394709,36.3,37.37,5.453153307457642,0.1517367242209838,5.241744088426601,5.647306959664076,147.81885918053942,2.5113471824446547,144.4006635930193,151.11873052352357,8115.966547046146,737.2854399609942,6711.441609960621,8714.124950580492,8.584662059963929,0.7098582978773419,7.222776799329369,9.137899161493918,37.61678006201301,6.145687558557918,30.994579800762033,48.59180852543376
2048,-2.1475909249985916,0.9902072148640775,-3.5592546029851806,-0.5765588347132918,36.568,0.3865953957304721,36.03,37.07,5.355350297218779,0.13348891868810756,5.182714017869557,5.531998463743894,146.42698405620402,2.104333949907541,143.84440793420922,149.23114280398957,8297.35389112221,1163.8201669974287,6951.427670352366,10094.739862598566,8.775121814417773,1.2866012312046624,7.200526200280295,10.757213712405097,37.80735201938861,7.447372012431897,29.857971407128563,49.205741845109344
2049,-2.2471967972114344,0.7068244885448187,-3.3120231491118908,-1.257228977974578,36.3,0.5025932749251606,35.74,36.91,5.27023514943573,0.1623906530698816,5.089383823599233,5.467144527360797,145.15157797911007,2.4544307937882612,142.40021890316822,148.16109830246063,7387.3373460639195,593.7053539554881,6820.727282277001,8360.044109250068,7.632783255887679,0.6193362604637894,6.953380547054037,8.689402365922694,35.498821456429845,5.2807760816384475,27.538465765042965,43.47494660840755
