year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2026,-0.5844117971119899,40.11,6.8722845819339025,171.33594071139123,-0.5844117971119899,6693.5209890494325,39.1167988804211,7.697302373904156,242742127.66344145,9.827628421920636,2667.4973000915375,392.4851502043729,1609.842579241746,large
2027,-1.9239286955053898,40.1,6.84623130192645,170.72896014779178,-2.50834049261738,7244.957916035326,32.19998915149158,8.364681269285473,263788588.50818667,10.60325058245902,2324.026718110367,383.5929939537048,1609.842579241746,large
2028,-1.5993881305726294,40.0,6.761246299607791,169.03115749019477,-4.10772862319001,7480.579828419523,35.86389247505421,8.498062391817891,268729128.1790221,12.09086082393101,2569.4672408797956,361.7984646437293,1609.842579241746,large
2029,-2.100961747324501,39.89,6.690913232667525,167.73409959056218,-6.2086903705145104,7774.305738594338,36.012003263525614,9.067386870930934,285949112.3616779,11.251058823266595,2478.7400408528933,344.00491617697355,1609.842579241746,large
2030,-0.6191994086095503,39.74,6.5991309139056655,166.05764755676057,-6.82788977912406,5491.712527243946,31.054770209073528,6.298688960851952,198635455.06942716,10.059766350758952,2129.465656480037,386.63418501574165,1609.842579241746,large
2031,-0.49742045420303377,39.69,6.57189163804855,165.58054013727764,-7.325310233327094,5336.550993305915,31.74540894485723,6.028600778719176,190117954.15768793,9.457673110269821,2114.864320628176,405.1791138723617,1609.842579241746,large
2032,-1.0271627081395263,39.63,6.549983525312974,165.2784134573044,-8.352472941466619,5792.633177418899,32.57339927876874,6.354804647831745,200954174.4955946,10.008853457253021,2082.7271058570345,449.42862908855676,1609.842579241746,large
2033,-2.127686459051723,39.53,6.505073683031585,164.56042709414587,-10.480159400518342,7761.29836001659,36.59507460485153,8.876591478013786,279932188.85064274,10.877271896997064,2462.1254240842973,483.01862138710277,1609.842579241746,large
2034,-1.0988763452617265,39.33,6.412720088394832,163.04907420276714,-11.579035745780068,5302.443724563881,32.40013267345779,6.1484400700623745,193897206.04948702,10.762772929287314,1837.1880910333093,510.6520326558667,1609.842579241746,large
2035,-2.4875178577066386,39.27,6.364855637281392,162.0793388663456,-14.066553603486707,7991.1420622706355,34.250110385741635,8.980723082759448,283216083.13790196,12.249325292143972,2405.821780838847,520.9173550693855,1609.842579241746,large
2036,-1.935784124373836,39.02,6.257884081552778,160.3763219260066,-16.002337727860542,9883.732596638842,44.527355473257636,11.187537230857307,353776777.3290621,11.00154715099453,3474.6111686317417,533.3888609652017,1609.842579241746,large
2037,-2.216523147862087,38.88,6.17473209925097,158.8151260095414,-18.21886087572263,6814.880388814336,37.84794269327952,7.667145690255397,241791106.4878942,11.248856581949509,2010.8637393428862,548.4971383461344,1609.842579241746,large
2038,-0.37893724927334854,38.61,6.080668995656339,157.48948447698365,-18.59779812499598,4763.36593461079,31.185117788132448,5.273756750948937,166313192.8979257,9.16628065952254,1917.113549007813,596.6737344407261,1609.842579241746,large
2039,0.34953300418388594,38.59,6.064412845117102,157.14985346248,-18.248265120812093,6589.9020786912715,28.390633818589908,7.315975757325518,230716611.48301753,9.671174418545126,3034.564142749896,593.2636929997544,1609.842579241746,large
2040,-2.4523125722590104,38.59,6.0794000435964985,157.53822346712874,-20.700577693071104,7772.251125500197,43.57856024678853,8.661446280320584,273895718.85480964,11.297838999882098,2326.0091269528307,596.4391630654155,1609.842579241746,large
2041,-1.7878654638176759,38.32,5.97583319401454,155.945542641298,-22.488443156888778,7413.01448484414,50.71435436033233,8.169546298658185,257634812.0744845,10.518068392517614,2459.2956591801612,618.3726324370922,1609.842579241746,large
2042,-3.070032725780043,38.12,5.900417549411732,154.78535019443157,-25.55847588266882,7709.3169326694515,36.813443127657486,8.45229566190429,266551595.99381375,11.033549097447132,2028.5403247237016,644.4755040455727,1609.842579241746,large
2043,-2.0420188085228133,37.76,5.772417746852146,152.87123270265218,-27.60049469119163,8452.060241376299,51.14835373362967,8.878433375152545,279990274.91881067,10.687141746160616,2803.5418634243074,643.6512562403842,1609.842579241746,large
2044,-1.426483956416273,37.46,5.688040176469493,151.84303727895067,-29.026978647607905,7678.272837211138,27.8684280008736,8.477628095836915,268082946.69779328,10.8175099009733,2733.800704898216,643.0675770147328,1609.842579241746,large
2045,-2.355404612310451,37.3,5.629030534043158,150.91234675718923,-31.382383259918356,7495.869862940507,55.3369287226159,7.736382524124126,243974559.28077844,11.91587497476116,2247.8139187089732,647.651363329615,1609.842579241746,large
2046,-3.2025375791542934,37.07,5.532344060603149,149.24046562188155,-34.58492083907265,10025.387164699252,56.14040022803026,10.46648819895596,330071171.84227514,11.656228434658408,2983.918142874327,640.6077318232442,1609.842579241746,large
2047,-1.8028485917706782,36.77,5.403201858174179,146.9459303283704,-36.38776943084333,6199.384866348649,33.33159949620215,6.395277083575911,201681458.10764992,10.09791033799995,1923.287057649894,629.9005344289483,1609.842579241746,large
2048,-1.6483521087374247,36.51,5.3306576253994225,146.00541291151526,-38.036121539580755,6812.595331412165,38.83088638876231,7.001034393465684,221389510.00392923,11.625371892523912,2258.8104244551114,622.8678547053685,1609.842579241746,large
2049,-1.6650343391565454,36.31,5.264409588562145,144.98511673263965,-39.7011558787373,8634.108893858916,40.244797958097585,9.00869901151483,284098332.0271317,11.999852052079435,3048.3965749269382,619.9705942942124,1609.842579241746,large
2050,-2.483748323919002,36.05,5.198272158531997,144.19617638091532,-42.184904202656305,8622.015296151332,41.79458392286302,9.214327555229197,290583033.78170794,11.615703081185243,2684.105638679126,615.7425362725833,1609.842579241746,large
2051,-2.4409613322973667,35.74,5.100560292612999,142.71293488005034,-44.625865534953675,7654.72142336436,41.429921262365525,7.803600630163362,246094349.47283176,11.452913031507933,2279.9148914992966,609.7045142847875,1609.842579241746,large
2052,-2.0444800147286664,35.45,5.005552157835089,141.20034295726626,-46.67034554968234,9803.102196578644,37.79499628842416,9.90064566608849,313082177.51131666,11.615151157554482,3391.698710203154,602.7937484938017,1609.842579241746,large
2053,-2.8489213982115844,35.2,4.926309261766115,139.95196766381008,-49.519266947893925,9265.721136064005,48.57552752813511,9.320613010252053,293934851.8913088,12.49703315665654,2804.7730801297917,597.9326607760621,1609.842579241746,large
2054,-2.8943987016501733,34.78,4.817995558787544,138.5277618972842,-52.4136656495441,9799.951549411926,38.50216260286801,9.99401560773037,315171276.2053849,12.251137770914353,3017.8233675745714,589.2310637568223,1609.842579241746,large
2055,-2.9453783821938146,34.31,4.7092327672600485,137.25539980355725,-55.359044031737916,9221.28336876143,39.35650980049469,8.904119636847602,280800316.867626,12.916828649077566,2741.159639458035,592.1964021812068,1609.842579241746,large
2056,-3.9217796472416193,33.89,4.600011211734762,135.73358547461672,-59.28082367897954,9917.619016243927,30.187691641595396,10.011920107448073,316600942.40576595,13.12430344557673,2617.8469298114464,588.9876849990876,1609.842579241746,large
2057,-3.8165799530703017,33.33,4.457986178835957,133.7529606611448,-63.09740363204984,10215.93393883837,40.50594331704815,9.927857269234106,313084906.8425668,13.256455790615439,2793.19137847818,601.9681686901853,1609.842579241746,large
