year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2026,-1.7095979202250757,40.11,6.8722845819339025,171.33594071139123,-1.7095979202250757,6804.012733154307,36.68088239073117,7.871746547511815,248243399.12233263,11.205630704768161,2224.4385117505726,392.4851502043729,1609.842579241746,large
2027,-1.5947677631243435,40.07,6.796306760271382,169.61085001925088,-3.3043656833494195,7054.215929226918,43.71908735616912,8.203079892086732,258692327.4768472,10.425749020091699,2385.3708539179474,373.9443606185371,1609.842579241746,large
2028,-0.5435294466044958,39.96,6.726340321143074,168.3268348634403,-3.8478951299539155,7184.477514703271,37.507844832164665,8.27397941237803,261643086.569983,10.443428244130747,2901.7381862231105,348.95744557380067,1609.842579241746,large
2029,-0.17747289378770953,39.92,6.702336041134935,167.89418940718778,-4.025368023741625,5404.800787429654,29.04000677673933,6.163064298720477,194358395.72444898,9.47482360770634,2284.0140702088956,347.8910533810684,1609.842579241746,large
2030,-1.4687286394934067,39.89,6.694455074627259,167.8228898126663,-5.494096663235032,6552.979591473288,37.184874305371274,7.677684122803882,242123446.4967432,10.377417469161841,2221.2807146760583,344.91726424405044,1609.842579241746,large
2031,-1.8910460466937737,39.76,6.629943453376409,166.7490808193262,-7.385142709928806,7180.24829429145,34.13714058899029,8.411321048164323,265259420.57491013,10.990787949906577,2310.940675374842,385.2918297254371,1609.842579241746,large
2032,-0.6001718739463484,39.63,6.5471233229181305,165.20624080035657,-7.985314583875154,6153.622295996923,35.62604793398688,6.848385741612712,216562393.27557385,9.878373723814004,2427.1801188321397,448.3113166665698,1609.842579241746,large
2033,-2.9495461036114166,39.55,6.520778020815621,164.87428624059726,-10.934860687486571,6377.679311468284,28.91919846435298,7.195100863835963,226904700.84193093,10.521451149953283,1498.1714027573587,440.0829287244,1609.842579241746,large
2034,-2.7856441366201317,39.32,6.393156482092121,162.59299293214957,-13.720504824106703,9288.602717337635,63.33777280376307,10.05170309135608,316990508.6890054,11.97876833639181,2842.5800026829993,508.4632726145545,1609.842579241746,large
2035,-2.4558355793556137,39.1,6.273118029651223,160.43780126985226,-16.176340403462316,8661.913372389965,37.5641056278443,9.794120496035358,308867383.9629711,10.951306828345777,2713.762839463849,524.6874061844977,1609.842579241746,large
2036,-2.2939013186845205,38.88,6.168413187908655,158.65260256966704,-18.470241722146838,9620.146887761955,40.404660453137296,10.761516724685103,340304986.4746822,10.80868119504787,3203.978682458586,550.4488849167082,1609.842579241746,large
2037,-3.0612231467746835,38.63,6.070916994616681,157.1555007666757,-21.53146486892152,8475.480608832331,38.79535229783009,9.507427868362255,299826245.2566721,10.934727158890952,2367.8900536092565,583.9822549554406,1609.842579241746,large
2038,-1.8677508729475272,38.24,5.942708852404218,155.40556622395965,-23.39921574186905,6094.704816052303,27.794943941474944,6.690424756312548,210989235.11507252,10.390866433156408,1848.3769914078387,633.4953442367585,1609.842579241746,large
2039,-0.48983455683747756,38.06,5.864069613558154,154.07434612606815,-23.88905029870653,7300.174808769631,38.02295877310695,7.928508714173469,250033450.8101745,9.11676749782183,2978.2749787550056,640.6076824312767,1609.842579241746,large
