year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2026,-1.8234512232291173,40.11,6.8722845819339025,171.33594071139123,-1.8234512232291173,7573.188297414361,35.741906469751655,8.94558056834774,282107828.8034143,10.677740441335125,2510.5801254734574,392.4851502043729,1609.842579241746,large
2027,-1.944724989705783,40.07,6.791267510357053,169.4850888534328,-3.7681762129349003,6647.715477240176,32.30478761617047,7.619262823179317,240281072.39178294,10.407658548077652,2054.9585815532723,372.26391475392757,1609.842579241746,large
2028,-0.8956840907050148,39.92,6.706298878123087,167.9934588708188,-4.663860303639915,6785.928918356953,34.41280347438793,7.76359351713852,245503459.63636112,9.310771762573816,2573.5651229813393,349.6074565468248,1609.842579241746,large
2029,-0.5559103379523276,39.83,6.666802001528609,167.38142107779586,-5.219770641592242,5921.303061032977,38.84924070365615,6.711315401324429,211648042.49616718,9.695860253346844,2343.9843351717277,368.9526018543314,1609.842579241746,large
2030,-0.8705760274948109,39.79,6.642260301355711,166.9329052866477,-6.090346669087053,6629.900415981255,25.28352325216324,7.6266005732497,240512475.67800254,8.821560499079691,2516.489540867044,359.9382380768412,1609.842579241746,large
2031,-1.5025076014688266,39.74,6.604025708436445,166.1808180280937,-7.592854270555879,6427.798100438488,28.60358625868388,7.368325493386277,232367512.75942963,10.851877390957238,2152.425396799017,386.15629356108394,1609.842579241746,large
2032,-1.2704662536890474,39.6,6.538345323533055,165.10973039224885,-8.863320524244926,5945.853205389466,29.80306280588959,6.720865339952232,212529892.12610546,9.576142670564645,2043.3003273927784,445.45058945002677,1609.842579241746,large
2033,-1.2623081660176863,39.52,6.482943591953514,164.04209493809498,-10.125628690262612,5617.569989178016,27.682689843292394,6.234161103622624,196600504.56384307,8.698812497317633,1903.7880513100038,477.01975387540017,1609.842579241746,large
2034,-0.06706128975176462,39.36,6.428141075867955,163.31659237469398,-10.192689980014377,6457.37301745897,31.483845716028235,7.393490040376423,233161101.9133109,9.66889697793499,2792.8704783186704,514.4100678100559,1609.842579241746,large
2035,-3.5883719284477005,39.34,6.425191119432956,163.32463445432018,-13.781061908462078,9234.4725926757,33.3182357733334,10.684321784581366,336940771.798558,12.571594002073065,2467.483456955465,513.6308876529404,1609.842579241746,large
2036,-2.440526952519368,39.03,6.270956343428119,160.6701599648506,-16.221588860981445,8192.00398723608,38.122284410192904,9.357166685855551,295896067.8067986,10.525027054056492,2514.1476890744184,537.4441313856005,1609.842579241746,large
2037,-1.7941626857417425,38.88,6.166123870787181,158.5937209564604,-18.015751546723187,7132.205113734476,27.906791308049844,7.9108487372399745,249476525.77759984,10.679171450378943,2334.53499687363,547.3226893335492,1609.842579241746,large
2038,-1.5908864611370312,38.67,6.089934649987356,157.48473364332443,-19.60663800786022,7530.488484995394,41.8638383862484,8.239023569578713,259825847.2902343,10.943704783535363,2597.59049710838,577.4090003528812,1609.842579241746,large
2039,-1.325807336350416,38.47,6.022598928531096,156.5531304531088,-20.932445344210635,6260.011053124272,34.01772840375344,6.88895975885959,217250234.95539603,10.226820336354656,2157.454727065121,607.297800227016,1609.842579241746,large
2040,-2.0474635303673163,38.26,5.966340383955365,155.94198598942407,-22.97990887457795,7865.786699000136,37.02168445353824,8.761397802401195,277056425.86665154,12.656344524441174,2543.5484165094117,635.0878040964017,1609.842579241746,large
2041,-1.587784620862319,38.09,5.879987478733564,154.37089731513686,-24.56769349544027,7513.274287537319,34.92760382935427,8.207129341490445,258820030.91324267,11.309108332066273,2591.1521188625766,640.9019253030841,1609.842579241746,large
2042,-2.1152730410692526,37.92,5.813331572236202,153.30515749568045,-26.68296653650952,7529.033063831851,35.04991965209807,8.182384380940746,258039673.8373474,11.740009569222353,2367.71371961143,644.281451339983,1609.842579241746,large
2043,-1.778373187686373,37.58,5.72546156414518,152.3539532768808,-28.461339724195895,6661.681833587411,41.79738433930923,7.152770870940231,225569782.18597114,10.344707086949086,2135.4451994523924,645.3284844682861,1609.842579241746,large
2044,-2.3466806300361536,37.37,5.652046137797035,151.2455482418259,-30.80802035423205,8855.663882666271,38.44455672709554,9.527144503233432,301271174.33904886,11.822934012595045,2846.325402314377,644.7821261512928,1609.842579241746,large
2045,-3.2613718517181596,37.14,5.555687225594957,149.58770128150124,-34.06939220595021,9388.561844765034,37.337983276761676,10.058660093294545,317209904.70213675,12.577388693075951,2679.8686472045706,644.513703069045,1609.842579241746,large
2046,-2.4769934695831592,36.79,5.4244186026613885,147.44274538356586,-36.546385675533365,7627.250636583879,34.24393398810818,8.046360284703841,253750017.93842036,10.984402959380303,2252.6985026201583,633.5462299703362,1609.842579241746,large
2047,-4.341888838596359,36.48,5.324778758344429,145.96432999847667,-40.888274514129726,10376.486925657427,35.99555475240602,10.93232056937213,344761661.4757195,14.038775332214879,2639.3899120322353,626.8407884379416,1609.842579241746,large
2048,-3.140896679583431,35.95,5.154496117693096,143.37958602762438,-44.029171193713154,10961.339795614731,33.82997429088724,11.702511208528543,370061490.44057304,12.283946811401941,3419.8707867200405,612.3907247380284,1609.842579241746,large
2049,-3.082664190386548,35.55,5.032262585129371,141.5545030978726,-47.1118353840997,8247.099062948942,28.66224733808322,8.552965699964593,269726326.31408346,13.610235890235428,2258.11648549804,608.9375677138446,1609.842579241746,large
2050,-2.919709181520219,35.15,4.914071725288211,139.80289403380402,-50.03154456561992,8030.694085090515,33.63877706580951,8.295280620344235,261599969.64317578,12.245368057885736,2233.8850488075586,595.9494138200746,1609.842579241746,large
2051,-2.848955815368861,34.74,4.802989770983714,138.25531868116622,-52.88050038098878,7945.466449825201,30.735929743281766,8.070795251448935,254520599.04969358,12.912796116012432,2227.3154263507854,597.1227334528274,1609.842579241746,large
2052,-5.231056185698917,34.29,4.696450326681584,136.96268085977204,-58.111556566687696,10291.539135004707,37.18819875908449,10.21345624949625,322973998.9040702,13.579584522636656,2210.5249363637035,589.4015668577993,1609.842579241746,large
2053,-2.9377210832292753,33.5,4.508106054773856,134.57032999324943,-61.049277649916974,7799.049949839475,36.504803811782224,7.55779034889171,238342476.44264898,12.53180637787979,2122.0634370371054,598.3459592656633,1609.842579241746,large
2054,-2.496448222912886,33.14,4.401399209755917,132.8122875605286,-63.54572587282986,7250.749509807047,30.042241333144233,6.980559883177104,220138936.47587317,12.392166233199935,2075.0132387618855,611.0224231840456,1609.842579241746,large
2055,-1.5829992980675098,32.84,4.310972931987405,131.27201376331928,-65.12872517089737,7371.701498515431,35.671179317376755,6.889222876877381,217258532.64520508,11.971684758696705,2526.1718677414,614.4171671556466,1609.842579241746,large
2056,-1.093472747039525,32.63,4.253783267331481,130.3641822657518,-66.2221979179369,6966.9174951477,27.283474443870617,6.589352796399344,208371149.8688586,11.565442942303775,2563.2539617965285,619.3910068842284,1609.842579241746,large
2057,-3.1987539114109143,32.51,4.214335099644863,129.63196246216128,-69.42095182934781,7082.116824522889,30.544139372727084,6.602140871560544,208205114.52553332,10.729771916899834,1694.9287032697707,626.0684173813594,1609.842579241746,large
2058,-2.762035489631309,32.04,4.101977343452761,128.02675853473036,-72.18298731897912,8891.824279990484,33.499473890769394,8.279338623610018,261097222.83416554,13.218012034511924,2675.1461519948016,627.6549111345786,1609.842579241746,large
2059,-3.1537784892482,31.64,4.0057551820119635,126.60414608128835,-75.33676580822731,9074.976400879637,34.29909748093852,8.217994521500707,259162675.2300463,12.767350002094293,2583.7395843288937,629.7157917911968,1609.842579241746,large
2060,-3.9214772125828343,31.21,3.8974897970950666,124.87951929173556,-79.25824302081014,9462.630056521833,28.313884695774075,8.646814888047846,273433039.1158042,12.693080059109143,2417.4701667431546,644.3934790478766,1609.842579241746,large
2061,-2.9884875359207874,30.7,3.7653732259225023,122.65059367825741,-82.24673055673092,10386.930219947044,34.7387603936775,9.328479523302146,294182930.2468565,12.198132154353129,3226.8056401570298,647.3956424885524,1609.842579241746,large
2062,-3.599673038637756,30.16,3.6671512635851706,121.58989600746588,-85.84640359536868,9231.975112446764,27.38189852419982,8.114554169772429,255900580.2979433,13.08415828801481,2454.0400511798816,647.0830108988304,1609.842579241746,large
2063,-4.030707229762274,29.42,3.551957181785626,120.73273901378742,-89.87711082513096,11407.663911785527,52.58007462736053,9.872436865685966,311337168.9962726,12.555285341980506,3209.8242860066307,650.8504844033638,1609.842579241746,large
2064,-2.900590748383222,28.71,3.425483582039019,119.31325607938068,-92.77770157351418,8802.331673046845,30.306829289719534,7.262630404621788,229661803.70711204,12.936023200880541,2565.327804263743,651.4944886956143,1609.842579241746,large
2065,-3.3514990075341866,28.18,3.3355886903877803,118.36723528700426,-96.12920058104837,9605.236530542768,34.04143986773451,7.8973037751258,249049371.85236722,12.912672055423098,2715.862761077919,661.7083079144057,1609.842579241746,large
2066,-5.190071292926173,27.43,3.2351601769007794,117.94240528256579,-101.31927187397454,11670.258735021413,43.07015088503906,9.492328989713114,299350087.01959276,12.662074308947215,2808.940087452529,658.8416787355602,1609.842579241746,large
2067,-2.159272044135183,26.23,3.0908668875080876,117.83709064079633,-103.47854391810972,8759.369942804968,35.13653294437854,6.685779845573896,210842753.2100184,12.494379885437537,2852.6097352406714,681.4821375360111,1609.842579241746,large
2068,-3.655762135212838,25.74,3.029596608663096,117.69994594650723,-107.13430605332256,10863.801658436714,27.140965370613046,8.132814779420418,257179122.08074424,12.333299374347764,3112.666870003877,689.7124119083783,1609.842579241746,large
2069,-2.4134753209738333,25.14,2.929398474256785,116.5234078861092,-109.54778137429639,9220.826599282864,25.820733632413898,6.745623762136428,212729990.9627344,13.371301166008186,2936.8214173355855,694.0407432602942,1609.842579241746,large
2070,-2.062560507931622,24.7,2.8638353766826485,115.94475209241493,-111.61034188222801,9209.049004065791,23.172491668075175,6.556858957233343,206777104.0753107,12.879365767740524,3080.1959218942948,699.269681117311,1609.842579241746,large
